name	id	firstAuthor	title	subtitle	normalizedGenre	yearNormalized	size	libretto	averageClustering	density	averagePathLength	maxDegreeIds	averageDegree	diameter	yearPremiered	yearPrinted	maxDegree	numOfSpeakers	numOfSpeakersFemale	numOfSpeakersMale	numOfSpeakersUnknown	numPersonGroups	numConnectedComponents	yearWritten	numOfSegments	wikipediaLinkCount	numOfActs	wordCountText	wordCountSp	wordCountStage	numOfP	numOfL
anzengruber-das-vierte-gebot	ger000129	Anzengruber	Das vierte Gebot	Volksstück in vier Akten		1877	32	false	0.773499196	0.290322581	1.852822581	martin	9	4	1877	1878	24	32	8	23	1		1		40	1	4	19774	18773	4092	780	0
anzengruber-der-gwissenswurm	ger000120	Anzengruber	Der Gwissenswurm	Bauernkomödie mit Gesang in drei Akten	Comedy	1874	15	false	0.785218855	0.4	1.46835443	dusterer	5.6	2	1874	1874	12	15	5	9	1		2		34	1	3	17114	16392	2269	640	124
anzengruber-der-meineidbauer	ger000054	Anzengruber	Der Meineidbauer	Volksstück mit Gesang in drei Akten		1871	22	false	0.833970323	0.25974026	2.038961039	vroni	5.454545455	4	1871	1871	14	22	10	12	0		1		26	1	3	24560	23650	2756	556	73
anzengruber-der-pfarrer-von-kirchfeld	ger000337	Anzengruber	Der Pfarrer von Kirchfeld	Volksstück mit Gesang in vier Akten		1870	22	false	0.778463456	0.402597403	1.748917749	schulmeister	8.454545455	3	1870	1871	18	22	3	14	5		1	1869	26	1	4	22589	21372	2473	626	68
anzengruber-die-kreuzelschreiber	ger000304	Anzengruber	Die Kreuzelschreiber	Bauernkomödie mit Gesang in drei Akten	Comedy	1872	23	false	0.843880946	0.577075099	1.5256917	steinklopferhanns	12.69565217	3	1872	1872	20	23	5	14	4		1		23	1	3	18896	17820	3831	651	237
anzengruber-heimgfunden	ger000039	Anzengruber	Heimg'funden	Wiener Weihnachtskomödie in drei Akten	Comedy	1885	30	false	0.842957995	0.310344828	2.034482759	thomas	9	3	1885	1885	17	30	9	17	4		1	1884/1885	36	0	3	26742	25733	4313	869	34
arnim-das-loch	ger000407	Arnim	Das Loch oder Das wiedergefundene Paradies	Ein Schattenspiel		1811	22	false	0.850413802	0.359307359	1.753246753	esel	7.545454545	3	1811	1813	18	22	1	6	15		1	1811	17	1	2	6781	5934	246	1	811
arnim-halle	ger000301	Arnim	Halle	Ein Studentenspiel in drei Aufzügen		1811	81	false	0.881061108	0.145679012	2.022530864	cardenio	11.65432099	4		1811	61	81	14	57	10		1		49	1	3	47644	46628	2565	1179	906
arnim-jerusalem	ger000195	Arnim	Jerusalem	Ein Pilgerabenteuer		1811	72	false	0.894968598	0.208528951	1.850700525	sidney	14.80555556	3		1811	52	72	15	50	7		2		13	1	0	29244	28803	1725	784	866
arnim-marino-caboga	ger000270	Arnim	Marino Caboga	Dramatische Erzählung in drei Handlungen		1826	22	false	0.805738938	0.601731602	1.272251309	several characters	12.63636364	2		1826	19	22	2	15	5		2		4	0	3	15415	15265	716	331	191
bauernfeld-buergerlich-und-romantisch	ger000027	Bauernfeld	Bürgerlich und Romantisch	Lustspiel in vier Akten	Comedy	1835	13	false	0.742918193	0.525641026	1.538461538	sittig|baron	6.307692308	3	1835	1837	10	13	5	8	0		1	1835	51	0	4	18089	17502	1016	1156	9
bauernfeld-grossjaehrig	ger000134	Bauernfeld	Großjährig	Lustspiel in zwei Aufzügen	Comedy	1846	7	false	0.923809524	0.80952381	1.19047619	spitz|hermann	4.857142857	2	1846	1846	6	7	2	5	0		1		25	0	2	13163	12861	1317	874	0
bauernfeld-industrie-und-herz	ger000185	Bauernfeld	Industrie und Herz	Lustspiel in vier Aufzügen	Comedy	1842	12	false	0.815277778	0.378787879	1.772727273	hermine	4.166666667	3	1842	1847	9	12	1	11	0		1		38	0	4	14813	14347	1221	771	0
benedix-das-bemooste-haupt	ger000499	Benedix	Das bemooste Haupt oder Der lange Israël	Schauspiel in vier Aufzügen		1839	15	false	0.868555149	0.542857143	1.457142857	strobel	7.6	2	1839	1840	14	15	3	12	0		1	1838	46	0	9	17501	16958	1525	857	20
benedix-die-hochzeitsreise	ger000035	Benedix	Die Hochzeitsreise	Lustspiel in zwei Aufzügen	Comedy	1850	5	false	0.866666667	0.8	1.2	edmund|hahnensporn	3.2	2	1850	1853	4	5	2	3	0		1	1849	10	0	2	11130	10989	1557	510	0
benedix-die-luegnerin	ger000354	Benedix	Die Lügnerin	Lustspiel in einem Aufzuge	Comedy	1849	8	false	0.94047619	0.821428571	1.178571429	moritz|constanze	5.75	2	1849	1851	7	8	3	5	0		1	1848	8	0	0	6464	6302	708	360	0
benedix-doctor-wespe	ger000502	Benedix	Doctor Wespe	Lustspiel in fünf Aufzügen	Comedy	1842	12	false	0.815145503	0.666666667	1.348484848	theudelinde|thekla	7.333333333	3	1842	1844	10	12	5	7	0		1	1841	51	0	9	23310	22847	1656	1326	25
birch-pfeiffer-die-walpurgisnacht	ger000151	Birch-Pfeiffer	Die Walpurgisnacht	Dramatisches Volksmärchen in vier Acten		1830	26	false	0.802079061	0.2	2.055384615	else	5	4	1830	1866	19	26	9	13	4		1	1827	42	0	4	17810	16944	3251	459	120
birch-pfeiffer-in-der-heimath	ger000268	Birch-Pfeiffer	In der Heimath	Original-Schauspiel in fünf Acten		1865	18	false	0.829038862	0.529411765	1.522875817	rose	9	3	1865	1865	15	18	8	10	0		1		39	0	5	25238	24493	4202	861	0
birch-pfeiffer-johannes-gutenberg	ger000411	Birch-Pfeiffer	Johannes Gutenberg	Original-Schauspiel in drei Abtheilungen		1835	14	false	0.644614512	0.406593407	1.67032967	guttenberg	5.285714286	3	1835	1836	10	14	5	9	0		1	1834	33	0	5	19071	18578	2981	359	34
birch-pfeiffer-pfeffer-roesel	ger000247	Birch-Pfeiffer	Pfeffer-Rösel oder Die Frankfurter Messe im Jahre 1297	Schauspiel in fünf Aufzügen		1829	40	false	0.833797521	0.414102564	1.714102564	bandini|roesel	16.15	4	1829	1833	32	40	6	31	3		1		37	0	5	19919	18380	4849	446	18
birch-pfeiffer-vatersorgen	ger000092	Birch-Pfeiffer	Vatersorgen	Komisches Zeitgemälde in drei Akten	Comedy	1849	13	false	0.863469863	0.551282051	1.448717949	krabbe|baron	6.615384615	2	1850	1849	12	13	4	9	0		1	1849	45	0	3	20527	20131	3473	738	0
eichendorff-das-incognito	ger000335	Eichendorff	Das Incognito oder Die mehreren Könige oder Alt und Neu	Ein Puppenspiel		1843	57	false	0.9334537	0.322055138	1.880325815	koenig	18.03508772	3		1901	41	57	3	49	5		1	1840/1843	7	0	0	6119	5970	794	0	783
eichendorff-der-letzte-held-von-marienburg	ger000255	Eichendorff	Der letzte Held von Marienburg	Trauerspiel	Tragedy	1830	55	false	0.82610517	0.262626263	1.854545455	heinrich_von_plauen	14.18181818	3	1831	1830	41	55	6	49	0		1		18	0	5	24596	24026	2330	73	2863
eichendorff-die-freier	ger000118	Eichendorff	Die Freier	Lustspiel in drei Aufzügen	Comedy	1833	11	false	0.838383838	0.763636364	1.254545455	several characters	7.636363636	3	1849	1833	9	11	3	8	0		1		10	0	3	15820	15525	1630	479	493
ertler-anna-iwanowna	ger000420	Ertler	Anna Iwanowna	Ein Schauspiel in drei Akten und einem Vorspiel als Oper vertont von Konrad Steckl		1920	23	false	0.92634848	0.826086957	1.173913043	several characters	18.17391304	2	1920	1920	22	23	2	20	1		1	1918/1919	4	0	3	24745	22937	6523	1113	23
ertler-belian-und-marpalye	ger000367	Ertler	Belian und Marpalye	Ein Traumspiel		1924	25	false	0.841394971	0.393333333	1.65	der_fremde	9.44	3	1924	1924	21	25	4	20	1		1	1922/1923	26	0	9	15615	12684	3953	525	0
ertler-das-spiel-von-doktor-faust	ger000052	Ertler	Das Spiel von Doktor Faust	Ein deutsches Stück im Volkston in einem Vorspiel und drei Akten		1923	22	false	0.663269054	0.199134199	1.921052632	hanswurst	4.181818182	3	1923	1923	12	22	3	16	3		3	1922	51	0	3	15320	13892	1318	0	2026
fouque-aslauga	ger000471	Fouqué	Aslauga	Ein Heldenspiel in drei Abentheuren		1810	65	false	0.895729378	0.219711538	1.883585565	kriegsleute	14.06153846	3		1810	35	65	9	51	5		3		19	0	3	16506	15731	723	4	2152
fouque-sigurd-der-schlangentoedter	ger000212	Fouqué	Sigurd. der Schlangentödter	Ein Heldenspiel in sechs Abentheuren		1808	26	false	0.827739707	0.307692308	1.738461538	sigurd	7.692307692	3		1808	23	26	10	13	3		1		17	0	6	28926	26924	1137	0	3822
fouque-sigurds-rache	ger000470	Fouqué	Sigurds Rache	Ein Heldenspiel in sechs Abentheuren		1810	50	false	0.879783562	0.364081633	1.655510204	gudruna	17.84	3		1810	44	50	8	41	1		1		11	0	6	22288	21664	1008	0	3042
freytag-der-gelehrte	ger000508	Freytag	Der Gelehrte	Trauerspiel in einem Act	Tragedy	1848	8	false	0.845833333	0.5	1.5	walter	3.5	2		1848	7	8	1	6	1		1	1844	16	0	0	7075	6805	382	0	979
freytag-die-journalisten	ger000365	Freytag	Die Journalisten	Lustspiel in vier Akten	Comedy	1852	24	false	0.877101654	0.739130435	1.260869565	bolz|bellmaus	17	2	1852	1854	23	24	5	19	0		1		7	1	4	27820	27425	2476	1065	13
freytag-graf-waldemar	ger000233	Freytag	Graf Waldemar	Schauspiel in fünf Akten		1848	19	false	0.837085412	0.555555556	1.444444444	waldemar	10	2	1848	1850	18	19	5	14	0		1	1847	7	0	5	22794	22520	1528	785	0
goethe-clavigo	ger000157	Goethe	Clavigo	Ein Trauerspiel	Tragedy	1774	10	false	0.905952381	0.844444444	1.155555556	clavigo|carlos|beaumarchais	7.6	2	1774	1774	9	10	2	8	0		1		5	6	5	14028	13930	800	442	0
goethe-das-jahrmarktsfest-zu-plundersweilern	ger000536	Goethe	Das Jahrmarktsfest zu Plundersweilern	Ein Schönbartspiel	Comedy	1778	29	false	1	1	1	several characters	28	1	1778	1789	28	29	7	22	0		1	1773/1778	1	0	0	4540	4446	244	0	641
goethe-der-buergergeneral	ger000106	Goethe	Der Bürgergeneral	Ein Lustspiel in einem Aufzuge	Comedy	1793	7	false	0.923809524	0.904761905	1.095238095	several characters	5.428571429	2	1793	1793	6	7	1	6	0		1	1793	14	3	0	8298	8150	773	924	0
goethe-der-triumph-der-empfindsamkeit	ger000130	Goethe	Der Triumph der Empfindsamkeit	Eine dramatische Grille		1778	14	false	0.857297464	0.472527473	1.593406593	mandandane	6.142857143	3	1778	1787	11	14	8	5	1		1	1777	6	2	6	12013	11799	1413	406	509
goethe-des-epimenides-erwachen	ger000458	Goethe	Des Epimenides Erwachen	Ein Festspiel		1815	22	false	0.750603437	0.311688312	2.585714286	epimenides	6.545454545	6	1815	1815	11	22	2	9	11		2		25	1	2	6947	6642	1049	0	990
goethe-die-laune-des-verliebten	ger000224	Goethe	Die Laune des Verliebten	Ein Schäferspiel in Versen und einem Akte		1768	4	false	0.833333333	0.833333333	1.166666667	egle|amine	2.5	2	1779	1806	3	4	2	2	0		1	1767/1768	9	3	0	5687	5586	434	0	662
goethe-die-mitschuldigen	ger000178	Goethe	Die Mitschuldigen	Ein Lustspiel in einem Akte	Comedy	1776	4	false	1	1	1	several characters	3	1	1776	1909	3	4	1	3	0		1	1768/1769	15	2	0	7503	7315	916	0	889
goethe-die-wette	ger000511	Goethe	Die Wette	Ein Lustspiel in einem Akt	Comedy	1812	6	false	1	1	1	several characters	5	1		1837	5	6	2	4	0		1	1812	5	0	0	3805	3563	267	128	0
goethe-erwin-und-elmire	ger000383	Goethe	Erwin und Elmire	Ein Schauspiel mit Gesang		1775	4	false	1	1	1	several characters	3	1	1775	1775	3	4	2	2	0		1	1774/1775	1	3	0	6434	6357	274	195	247
goethe-faust-in-urspruenglicher-gestalt	ger000539	Goethe	Faust [in ursprünglicher Gestalt]			1775	15	false	0.732592593	0.285714286	1.961904762	faust	4	3	1918	1887	10	15	3	9	3		1	1772/1775	20	0	0	12477	12313	756	146	1556
gotter-der-dorfjahrmarkt	ger000009	Gotter	Der Dorfjahrmarkt	Eine komische Oper in zwei Aufzügen		1775	18	true	0.806425365	0.62745098	1.39869281	lukas|fikfak	10.66666667	3	1775	1778	16	18	4	14	0		1		25	0	2	11547	11210	1474	623	226
gotter-die-geisterinsel	ger000061	Gotter	Die Geisterinsel	Ein Singspiel in drey Akten		1798	13	true	0.847052947	0.769230769	1.230769231	prospero|miranda	9.230769231	2	1798		12	13	1	10	2		1		28	0	3	13185	11699	2425	356	1079
gotter-medea	ger000246	Gotter	Medea			1775	5	true	0.7	0.7	1.3	medea	2.8	2	1775	1782	4	5	2	3	0		1		5	3	0	2222	2161	304	43	0
gottsched-atalanta	ger000252	Gottsched	Atalanta oder die bezwungene Sprödigkeit	Ein Schäferspiel. in fünf Aufzügen		1741	9	false	0.936507937	0.888888889	1.111111111	several characters	7.111111111	2		1741	8	9	3	6	0		1		37	0	5	15579	15082	405	0	1753
gottsched-der-sterbende-cato	ger000244	Gottsched	Der sterbende Cato	Ein Trauerspiel	Tragedy	1731	10	false	0.792142857	0.555555556	1.466666667	cato	5	3	1731	1732	8	10	2	8	0		1	1730	31	0	5	20073	14889	371	1	1712
gottschedin-das-testament	ger000220	Gottsched	Das Testament	Ein deutsches Lustspiel in fünf Aufzügen	Comedy	1745	12	false	0.828240741	0.636363636	1.393939394	fraeulein_amalie	7	3		1745	10	12	3	9	0		1		39	1	5	24529	24023	1682	1111	0
gottschedin-der-witzling	ger000395	Gottsched	Der Witzling	Ein deutsches Nachspiel in einem Aufzuge	Comedy	1745	7	false	0.733333333	0.666666667	1.333333333	jungfer_lottchen	4	2		1745	6	7	1	6	0		1		9	0	0	8830	8626	593	369	3
gottschedin-die-pietisterey-im-fischbein-rocke	ger000462	Gottsched	Die Pietisterey im Fischbein-Rocke oder Die Doctormäßige Frau		Comedy	1736	16	false	0.821924603	0.441666667	1.558333333	frau_glaubeleichtin	6.625	2		1736	15	16	8	8	0		1		40	1	5	24032	21891	460	1032	18
grabbe-die-hermannsschlacht	ger000516	Grabbe	Die Hermannsschlacht			1838	106	false	0.955508749	0.160287511	1.819297401	hermann	16.83018868	3	1936	1838	82	106	6	99	1		3	1835/1836	17	0	0	16349	15886	1757	776	3
grabbe-don-juan-und-faust	ger000209	Grabbe	Don Juan und Faust	Eine Tragödie in vier Akten	Tragedy	1829	21	false	0.950210084	0.638095238	1.39047619	faust	12.76190476	3	1829	1829	18	21	2	14	5		1	1829	11	2	4	23458	23218	1462	33	3395
grabbe-hannibal	ger000393	Grabbe	Hannibal			1835	118	false	0.923893499	0.090105751	2.189492754	hannibal	10.54237288	4	1918	1835	40	118	11	95	12		4	1834/1835	28	1	5	17658	17173	1888	927	0
grabbe-herzog-theodor-von-gothland	ger000158	Grabbe	Herzog Theodor von Gothland	Eine Tragödie in fünf Akten	Tragedy	1827	61	false	0.884296066	0.326229508	1.673770492	berdoa	19.57377049	2	1892	1827	57	61	2	59	0		1	1818/1822	17	1	5	43429	42944	5033	0	6988
grabbe-kaiser-friedrich-barbarossa	ger000517	Grabbe	Kaiser Friedrich Barbarossa	Eine Tragödie in fünf Akten	Tragedy	1829	82	false	0.862663829	0.281842818	1.814513701	kaiser_friedrich	22.82926829	3	1875	1829	71	82	3	72	7		1	1829	12	0	5	22949	22460	2094	57	3150
grabbe-kaiser-heinrich-der-sechste	ger000518	Grabbe	Kaiser Heinrich der Sechste	Eine Tragödie in fünf Akten	Tragedy	1830	80	false	0.834039041	0.156329114	2.385486019	koenig_heinrich_kaiser_heinrich	12.35	4	1875	1830	42	80	7	70	3		2	1829	15	0	5	31255	30563	2103	251	3828
