Personen	NN	Person
.	$.	.
Otto	NE	Otto
Lambert	NE	Lambert
,	$,	,
Professor	NN	Professor
an	APPR	an
einem	ART	eine
Gymnasium	NN	Gymnasium
.	$.	.
Antonie	NE	Antonie
,	$,	,
seine	PPOSAT	sein
Frau	NN	Frau
.	$.	.
Edmund	NE	Edmund
,	$,	,
sein	PPOSAT	sein
Famulus	NN	Famulus
.	$.	.
Hahnensporn	NN	Hahnensporn
,	$,	,
Stiefelputzer	NN	Stiefelputzer
.	$.	.
Guste	NE	Guste
,	$,	,
Kammerjungfer	NN	Kammerjungfer
.	$.	.
Erster	ADJA	erst
Aufzug	NN	Aufzug
.	$.	.
Studirzimmer	NN	Studirzimmer
bei	APPR	bei
Lambert	NE	Lambert
.	$.	.
Mittelthüre	NN	Mittelthüre
,	$,	,
zwei	CARD	zwei
Seitenthüren	NN	Seitenthüren
.	$.	.
Vorn	ADV	vorn
links	ADV	links
ein	ART	eine
Kamin	NN	Kamin
.	$.	.
Dahinter	PAV	dahinter
ein	ART	eine
großer	ADJA	groß
Schreibtisch	NN	Schreibtisch
,	$,	,
bedeckt	VVFIN	bedecken
mit	APPR	mit
Büchern	NN	Buch
.	$.	.
Vorn	ADV	vorn
rechts	ADV	rechts
ein	ART	eine
kleinerer	ADJA	klein
Tisch	NN	Tisch
,	$,	,
ebenfalls	ADV	ebenfalls
mit	APPR	mit
Büchern	NN	Buch
bedeckt	VVPP	bedecken
.	$.	.
Links	ADV	links
von	APPR	von
der	ART	die
Mittelthüre	NN	Mittelthüre
ein	ART	eine
kleiner	ADJA	klein
Tisch	NN	Tisch
,	$,	,
ebenfalls	ADV	ebenfalls
mit	APPR	mit
Büchern	NN	Buch
bedeckt	VVPP	bedecken
.	$.	.
Die	ART	die
Wände	NN	Wand
des	ART	die
Hintergrundes	NN	Hintergrund
werden	VAFIN	werden
von	APPR	von
großen	ADJA	groß
Schränken	NN	Schrank
eingenommen	VVPP	einnehmen
.	$.	.
Die	ART	die
Schränke	NN	Schrank
links	ADV	links
sind	VAFIN	sein
sichtbar	ADJD	sichtbar
Bücherschränke	NN	Bücherschrank
,	$,	,
einer	PIS	eine
rechts	ADV	rechts
ist	VAFIN	sein
verschlossen	VVPP	verschließen
.	$.	.
Erster	ADJA	erst
Auftritt	NN	Auftritt
.	$.	.
EDMUND	NE	Edmund
geht	VVFIN	gehen
auf	PTKVZ	auf
und	KON	und
nieder	ADJD	nieder
,	$,	,
ein	ART	eine
Buch	NN	Buch
in	APPR	in
der	ART	die
Hand	NN	Hand
,	$,	,
auswendig	ADV	auswendig
lernend	ADJD	lernend
.	$.	.
᾽Ανδρα	ADJA	᾽Ανδρα
μοι	NN	μοι
ἐννεπε	ADJA	ἐννεπε
Μουσα	NN	Μουσα
πολυτροπον	ADJA	πολυτροπον
,	$,	,
ὁς	ADJA	ὁς
μαλα	NN	μαλα
πολλα	ADJD	πολλα
Πλαγχϑη	ADJA	Πλαγχϑη
–	NN	–
Wie	KOKOM	wie
war	VAFIN	sein
es	PPER	es
?	$.	?
᾽Ανδρα	ADJA	᾽Ανδρα
Μουσα	NN	Μουσα
μοι	ADJD	μοι
ἐννεπε	ADJD	ἐννεπε
,	$,	,
