I	FM	I
In	APPR	in
einem	ART	eine
venezianischen	ADJA	venezianisch
Palast	NN	Palast
,	$,	,
den	PRELS	die
der	ART	die
Baron	NN	Baron
bewohnt	VVPP	bewohnen
:	$.	:
das	ART	die
Vorzimmer	NN	Vorzimmer
,	$,	,
vielmehr	ADV	vielmehr
ein	ART	eine
hoher	ADJA	hoch
geräumiger	ADJA	geräumig
Vorsaal	NN	Vorsaal
.	$.	.
Im	APPRART	in
Hintergrund	NN	Hintergrund
große	ADJA	groß
Tür	NN	Türe
auf	APPR	auf
die	ART	die
Treppe	NN	Treppe
,	$,	,
daneben	PAV	daneben
rechts	ADV	rechts
eine	ART	eine
kleine	ADJA	klein
Tür	NN	Türe
ins	APPRART	in
Dienerzimmer	NN	Dienerzimmer
,	$,	,
links	ADV	links
ein	ART	eine
Fenster	NN	Fenster
in	APPR	in
den	ART	die
Hof	NN	Hof
.	$.	.
Die	ART	die
rechte	ADJA	recht|rechts
Wand	NN	Wand
hat	VAFIN	haben
ein	ART	eine
vergittertes	ADJA	vergittert
Fenster	NN	Fenster
auf	APPR	auf
den	ART	die
Kanal	NN	Kanal
hinaus	PTKVZ	hinaus
.	$.	.
An	APPR	an
der	ART	die
linken	ADJA	links
Wand	NN	Wand
kleine	ADJA	klein
Tür	NN	Türe
ins	APPRART	in
Schlafzimmer	NN	Schlafzimmer
und	KON	und
noch	ADV	noch
eine	ART	eine
Tür	NN	Türe
.	$.	.
Der	ART	die
Saal	NN	Saal
selbst	ADV	selbst
hat	VAFIN	haben
Stuckdekoration	NN	Stuckdekoration
im	APPRART	in
Barockgeschmack	NN	Barockgeschmack
und	KON	und
kein	PIAT	keine
Mobiliar	NN	Mobiliar
als	KOKOM	als
einige	PIAT	einige
große	ADJA	groß
Armstühle	NN	Armstühle
mit	APPR	mit
verblichener	ADJA	verblichen
Vergoldung	NN	Vergoldung
.	$.	.
Es	PPER	es
treten	VVFIN	treten
auf	PTKVZ	auf
:	$.	:
der	ART	die
Baron	NN	Baron
und	KON	und
Lorenzo	NE	Lorenzo
.	$.	.
Der	ART	die
Baron	NN	Baron
in	APPR	in
Lila	NN	Lila
,	$,	,
mit	APPR	mit
blaßgelber	ADJA	blaßgelber
Weste	NN	Weste
,	$,	,
Lorenzo	NE	Lorenzo
ganz	ADV	ganz
schwarz	ADJD	schwarz
.	$.	.
Der	ART	die
Baron	NN	Baron
tritt	VVFIN	treten
zuerst	ADV	zuerst
ein	PTKVZ	ein
,	$,	,
mit	APPR	mit
den	ART	die
Gebärden	NN	Gebärde
des	ART	die
Hausherrn	NN	Hausherr
.	$.	.
BARON	NN	Baron
.	$.	.
Nein	PTKANT	nein
,	$,	,
nein	PTKANT	nein
,	$,	,
Ihr	PPER	sie
müßt	VMFIN	müssen
mir	PPER	ich
diese	PDAT	dies
Ehre	NN	Ehre
erweisen	VVINF	erweisen
,	$,	,
ich	PPER	ich
tue	VVFIN	tun
es	PPER	es
nicht	PTKNEG	nicht
anders	ADV	anders
.	$.	.
Ihr	PPER	sie
seid	VAFIN	sein
ein	ART	eine
Edelmann	NN	Edelmann
,	$,	,
ich	PPER	ich
bin	VAFIN	sein
ein	ART	eine
Edelmann	NN	Edelmann
.	$.	.
Ihr	PPER	sie
heißt	VVFIN	heißen
Venier	NN	Venier
,	$,	,
ich	PPER	ich
heiße	VVFIN	heißen
Weidenstamm	NN	Weidenstamm
.	$.	.
Ihr	PPER	sie
gehört	VVFIN	gehören
zu	APPR	zu
den	ART	die
Familien	NN	Familie
,	$,	,
die	PRELS	die
diese	PDAT	dies
Stadt	NN	Stadt
regieren	VVINF	regieren
,	$,	,
ich	PPER	ich
liebe	VVFIN	lieben
diese	PDAT	dies
Stadt	NN	Stadt
über	APPR	über
alles	PIS	alle
.	$.	.
Wir	PPER	wir
finden	VVFIN	finden
uns	PPER	wir
in	APPR	in
der	ART	die
Oper	NN	Oper
,	$,	,
ich	PPER	ich
will	VMFIN	wollen
den	ART	die
Namen	NN	Name
einer	ART	eine
Sängerin	NN	Sängerin
wissen	VVINF	wissen
,	$,	,
ich	PPER	ich
sehe	VVFIN	sehen
mich	PRF	ich
nach	APPR	nach
einer	ART	eine
Person	NN	Person
von	APPR	von
Stand	NN	Stand
um	PTKVZ	um
,	$,	,
an	APPR	an
die	PRELS	die
ich	PPER	ich
meine	PPOSAT	mein
Frage	NN	Frage
richten	VVINF	richten
könnte	VMFIN	können
.	$.	.
Eure	PPOSAT	euer
Haltung	NN	Haltung
,	$,	,
Eure	PPOSAT	euer
Kleidung	NN	Kleidung
,	$,	,
Euer	PPOSAT	euer
gemessener	ADJA	gemessener
Blick	NN	Blick
,	$,	,
Eure	PPOSAT	euer
wundervoll	ADJD	wundervoll
schönen	ADJA	schön
adeligen	ADJA	adelig
Hände	NN	Hand
ziehen	VVFIN	zeihen|ziehen
meine	PPOSAT	mein
Aufmerksamkeit	NN	Aufmerksamkeit
auf	APPR	auf
sich	PRF	sich
,	$,	,
und	KON	und
ich	PPER	ich
finde	VVFIN	finden
nichts	PIS	nichts
wünschenswerter	ADJD	wünschenswert
,	$,	,
als	KOUS	als
eine	ART	eine
Unterhaltung	NN	Unterhaltung
fortzusetzen	VVIZU	fortsetzen
,	$,	,
die	PRELS	die
der	ART	die
Zufall	NN	Zufall
angeknüpft	VVPP	anknüpfen
hat	VAFIN	haben
.	$.	.
VENIER	NN	VENIER
.	$.	.
Sie	PPER	Sie
sind	VAFIN	sein
sehr	ADV	sehr
gütig	ADJD	gütig
,	$,	,
und	KON	und
ich	PPER	ich
bin	VAFIN	sein
um	APPR	um
so	ADV	so
beschämter	ADJD	beschämter
als	KOKOM	als
–	ADJA	–
BARON	NN	Baron
.	$.	.
Wir	PPER	wir
wollen	VMFIN	wollen
uns	PPER	wir
Du	PPER	du
sagen	VVINF	sagen
,	$,	,
wie	KOUS	wie
in	APPR	in
der	ART	die
großen	ADJA	groß
Welt	NN	Welt
in	APPR	in
Wien	NE	Wien
und	KON	und
Neapel	NE	Neapel
.	$.	.
Ich	PPER	ich
will	VMFIN	wollen
dir	PRF	du
erklären	VVFIN	erklären
–	ADJA	–
verzeih	VVIMP	verzeihen
–	ADJD	–
Klatscht	VVFIN	klatschen
in	APPR	in
die	ART	die
Hände	NN	Hand
.	$.	.
Venier	NN	Venier
,	$,	,
stumme	ADJA	stumm
Bewegung	NN	Bewegung
.	$.	.
Le	NE	Le
Duc	NE	Duc
tritt	VVFIN	treten
von	APPR	von
links	ADV	links
auf	PTKVZ	auf
.	$.	.
BARON	NN	Baron
.	$.	.
Le	NE	Le
Duc	NE	Duc
,	$,	,
ich	PPER	ich
komme	VVFIN	kommen
an	PTKVZ	an
,	$,	,
Niemand	PIS	niemand
ist	VAFIN	sein
da	ADV	da
,	$,	,
mir	PRF	ich
aus	APPR	aus
der	ART	die
Gondel	NN	Gondel
zu	PTKZU	zu
helfen	VVINF	helfen
.	$.	.
Auf	APPR	auf
der	ART	die
Treppe	NN	Treppe
ist	VAFIN	sein
kein	PIAT	keine
Licht	NN	Licht
.	$.	.
Im	APPRART	in
Vorhaus	NN	Vorhaus
kann	VMFIN	können
man	PIS	man
den	ART	die
Hals	NN	Hals
brechen	VVINF	brechen
.	$.	.
Wo	PWAV	wo
ist	VAFIN	sein
der	ART	die
Lakai	NN	Lakai
,	$,	,
den	PRELS	die
du	PPER	du
aufnehmen	VVINF	aufnehmen
solltest	VMFIN	sollen
?	$.	?
Wo	PWAV	wo
ist	VAFIN	sein
der	ART	die
Diener	NN	Diener
,	$,	,
den	PRELS	die
der	ART	die
Wohnungsvermieter	NN	Wohnungsvermieter
zu	PTKZU	zu
schicken	VVINF	schicken
versprochen	VVPP	versprechen
hat	VAFIN	haben
?	$.	?
Zu	APPR	zu
Venier	NN	Venier
.	$.	.
Du	PPER	du
mußt	VMFIN	müssen
mich	PPER	ich
entschuldigen	VVINF	entschuldigen
,	$,	,
ich	PPER	ich
bin	VAFIN	sein
noch	ADV	noch
keine	PIAT	keine
vierundzwanzig	CARD	vierundzwanzig
Stunden	NN	Stunde|Stunden
hier	ADV	hier
und	KON	und
,	$,	,
wie	KOUS	wie
du	PPER	du
siehst	VVFIN	sehen
,	$,	,
schlecht	ADJD	schlecht
bedient	VVPP	bedienen
.	$.	.
LE	NE	LE
DUC	NE	Duc
.	$.	.
Euer	PPOSAT	euer
Gnaden	NN	Gnade
,	$,	,
es	PPER	es
waren	VAFIN	sein
drei	CARD	drei
da	PTKVZ	da
,	$,	,
aber	ADV	aber
mit	APPR	mit
solchen	PIAT	solche
Galgengesichtern	NN	Galgengesichtern
–	ADJA	–
BARON	NN	Baron
.	$.	.
Genug	ADV	genug
,	$,	,
du	PPER	du
wirst	VAFIN	werden
morgen	ADV	morgen
zusehen	VVINF	zusehen
.	$.	.
Jetzt	ADV	jetzt
Lichter	NN	Licht
,	$,	,
ich	PPER	ich
habe	VAFIN	haben
Spiel	NN	Spiel
!	$.	!
Tokaier	NN	Tokaier
,	$,	,
Kaffee	NN	Kaffee
!	$.	!
Zu	APPR	zu
Venier	NN	Venier
.	$.	.
Darf	VMFIN	dürfen
ich	PPER	ich
dir	PRF	du
sonst	ADV	sonst
etwas	PIS	etwas
anbieten	VVINF	anbieten
?	$.	?
Pause	NN	Pause
,	$,	,
während	KOUS	während
Le	NE	Le
Duc	NE	Duc
serviert	VVPP	servieren
.	$.	.
VENIER	NN	VENIER
.	$.	.
Sie	PPER	Sie
sind	VAFIN	sein
nicht	PTKNEG	nicht
das	ART	die
erste	ADJA	erst
Mal	NN	Mal
in	APPR	in
Venedig	NE	Venedig
,	$,	,
Baron	NN	Baron
?	$.	?
BARON	NN	Baron
.	$.	.
Wie	KOUS	wie
kannst	VMFIN	können
du	PPER	du
das	PDS	die
glauben	VVINF	glauben
?	$.	?
Aber	KON	aber
du	PPER	du
machst	VVFIN	machen
mich	PRF	ich
unglücklich	ADJD	unglücklich
,	$,	,
ich	PPER	ich
sehe	VVFIN	sehen
,	$,	,
du	PPER	du
fühlst	VVFIN	fühlen
dich	PPER	du
nicht	PTKNEG	nicht
zu	APPR	zu
Hause	NN	Haus
.	$.	.
Auf	APPR	auf
ihn	PPER	er
zutretend	ADJD	zutretend
.	$.	.
Venier	NN	Venier
,	$,	,
wir	PPER	wir
überlegen	VVFIN	überlegen
es	PPER	es
uns	PRF	wir
keinen	PIAT	keine
Augenblick	NN	Augenblick
,	$,	,
den	ART	die
