Erster	ADJA	erst
Akt	NN	Akt
Das	ART	die
Schlafzimmer	NN	Schlafzimmer
der	ART	die
Feldmarschallin	NN	Feldmarschallin
.	$.	.
Links	ADV	links
im	APPRART	in
Alkoven	NN	Alkoven
das	ART	die
große	ADJA	groß
zeltförmige	ADJA	zeltförmige
Himmelbett	NN	Himmelbett
.	$.	.
Neben	APPR	neben
dem	ART	die
Bett	NN	Bett
ein	ART	eine
dreiteiliger	ADJA	dreiteilig
chinesischer	ADJA	chinesisch
Wandschirm	NN	Wandschirm
,	$,	,
hinter	APPR	hinter
dem	ART	die
Kleider	NN	Kleid
liegen	VVFIN	liegen
.	$.	.
Ferner	ADJD	fern
ein	ART	eine
kleines	ADJA	klein
Tischchen	NN	Tischchen
und	KON	und
ein	ART	eine
paar	PIAT	paar
Sitzmöbel	NN	Sitzmöbel
.	$.	.
Auf	APPR	auf
einem	ART	eine
kleinen	ADJA	klein
Sofa	NN	Sofa
links	ADV	links
liegt	VVFIN	liegen
ein	ART	eine
Degen	NN	Degen
in	APPR	in
der	ART	die
Scheide	NN	Scheide
.	$.	.
Rechts	ADV	rechts
große	ADJA	groß
Flügeltüren	NN	Flügeltür
in	APPR	in
das	ART	die
Vorzimmer	NN	Vorzimmer
.	$.	.
In	APPR	in
der	ART	die
Mitte	NN	Mitte
kaum	ADV	kaum
sichtbare	ADJA	sichtbar
kleine	ADJA	klein
Türe	NN	Türe
in	APPR	in
die	ART	die
Wand	NN	Wand
eingelassen	VVPP	einlassen
.	$.	.
Sonst	ADV	sonst
keine	PIAT	keine
Türen	NN	Tür
.	$.	.
Zwischen	APPR	zwischen
dem	ART	die
Alkoven	NN	Alkoven
und	KON	und
der	ART	die
kleinen	ADJA	klein
Türe	NN	Türe
stehen	VVFIN	stehen
ein	ART	eine
Frisiertisch	NN	Frisiertisch
und	KON	und
ein	ART	eine
paar	PIAT	paar
Armsessel	NN	Armsessel
an	APPR	an
der	ART	die
Wand	NN	Wand
.	$.	.
Die	ART	die
Vorhänge	NN	Vorhang
des	ART	die
Bettes	NN	Bett
sind	VAFIN	sein
zurückgeschlagen	VVPP	zurückschlagen
.	$.	.
Octavian	NE	Octavian
kniet	VVFIN	knieen
auf	APPR	auf
einem	ART	eine
Schemel	NN	Schemel
vor	APPR	vor
dem	ART	die
Bett	NN	Bett
und	KON	und
hält	VVFIN	halten
die	ART	die
Feldmarschallin	NN	Feldmarschallin
,	$,	,
die	PRELS	die
im	APPRART	in
Bett	NN	Bett
liegt	VVFIN	liegen
,	$,	,
halb	ADJD	halb
umschlungen	VVINF	umschlungen
.	$.	.
Man	PIS	man
sieht	VVFIN	sehen
ihr	PPOSAT	ihr
Gesicht	NN	Gesicht
nicht	PTKNEG	nicht
,	$,	,
sondern	KON	sondern
nur	ADV	nur
ihre	PPOSAT	ihr
sehr	ADV	sehr
schöne	ADJA	schön
Hand	NN	Hand
und	KON	und
den	ART	die
Arm	NN	Arm
,	$,	,
von	APPR	von
dem	PRELS	die
das	ART	die
Spitzenhemd	NN	Spitzenhemd
abfällt	VVFIN	abfallen
.	$.	.
OCTAVIAN	NE	Octavian
.	$.	.
Wie	KOKOM	wie
du	PPER	du
warst	VAFIN	sein
!	$.	!
Wie	KOKOM	wie
du	PPER	du
bist	VAFIN	sein
!	$.	!
Das	PDS	die
weiß	VVFIN	wissen
niemand	PIS	niemand
,	$,	,
das	PDS	die
ahnt	VVFIN	ahnen
keiner	PIS	keine
!	$.	!
MARSCHALLIN	NE	MARSCHALLIN
richtet	VVFIN	richten
sich	PRF	sich
in	APPR	in
den	ART	die
Kissen	NN	Kissen
auf	PTKVZ	auf
.	$.	.
Beklagt	VVFIN	beklagen
Er	PPER	er
sich	PRF	sich
über	APPR	über
das	PDS	die
,	$,	,
Quin-quin	NN	Quin-quin
?	$.	?
Möcht	VVFIN	Möcht
Er	PPER	er
,	$,	,
daß	KOUS	dass
viele	PIS	viele
das	PDS	die
wüßten	VVFIN	wissen
?	$.	?
OCTAVIAN	NE	Octavian
.	$.	.
Engel	NE	Engel
!	$.	!
Nein	PTKANT	nein
!	$.	!
Selig	ADJD	selig
bin	VAFIN	sein
ich	PPER	ich
,	$,	,
daß	KOUS	dass
ich	PPER	ich
der	ART	die
einzige	ADJA	einzig
bin	VAFIN	sein
,	$,	,
der	PDS	die
weiß	VVFIN	wissen
,	$,	,
wie	KOKOM	wie
du	PPER	du
bist	VAFIN	sein
.	$.	.
Keiner	PIS	keine
ahnt	VVFIN	ahnen
es	PPER	es
!	$.	!
Niemand	PIS	niemand
weiß	VVFIN	wissen
es	PPER	es
.	$.	.
Du	PPER	du
,	$,	,
du	PPER	du
–	NN	–
was	PIS	was
heißt	VVFIN	heißen
das	ART	die
»	NN	»
du	PPER	du
«	ADJD	«
?	$.	?
Was	PWS	was
»	VVFIN	»
du	PPER	du
und	KON	und
ich	PPER	ich
«	ADJD	«
?	$.	?
Hat	VAFIN	haben
denn	ADV	denn
das	PDS	die
einen	ART	eine
Sinn	NN	Sinn
?	$.	?
Das	PDS	die
sind	VAFIN	sein
Wörter	NN	Wort
,	$,	,
bloße	ADJA	bloß
Wörter	NN	Wort
,	$,	,
nicht	PTKNEG	nicht
?	$.	?
Du	PPER	du
sag	VVIMP	sagen
!	$.	!
Aber	KON	aber
dennoch	ADV	dennoch
:	$.	:
Es	PPER	es
ist	VAFIN	sein
etwas	ADV	etwas
in	APPR	in
ihnen	PPER	sie
:	$.	:
ein	ART	eine
Schwindeln	NN	Schwindel
,	$,	,
ein	ART	eine
Ziehen	NN	Ziehen
,	$,	,
ein	ART	eine
Sehnen	NN	Sehne|Sehnen
,	$,	,
ein	ART	eine
Drängen	NN	Drängen
!	$.	!
Wie	KOKOM	wie
jetzt	ADV	jetzt
meine	PPOSAT	mein
Hand	NN	Hand
zu	APPR	zu
deiner	PPOSAT	dein
Hand	NN	Hand
kommt	VVFIN	kommen
,	$,	,
das	ART	die
Zudirwollen	NN	Zudirwollen
,	$,	,
das	ART	die
Dichumklammern	NN	Dichumklammern
,	$,	,
das	PDS	die
bin	VAFIN	sein
ich	PPER	ich
,	$,	,
das	PRELS	die
will	VMFIN	wollen
zu	APPR	zu
dir	PPER	du
,	$,	,
aber	KON	aber
das	PDS	die
Ich	PPER	ich
vergeht	VVFIN	vergehen
in	APPR	in
dem	ART	die
Du	PPER	du
,	$,	,
ich	PPER	ich
bin	VAFIN	sein
dein	PPOSAT	dein
Bub	NN	Bub
–	ADJD	–
aber	ADV	aber
wenn	KOUS	wenn
mir	PPER	ich
dann	ADV	dann
Hören	NN	Hören
und	KON	und
Sehen	NN	Sehen
vergeht	VVFIN	vergehen
–	ADJA	–
wo	PWAV	wo
ist	VAFIN	sein
dann	ADV	dann
dein	PPOSAT	dein
Bub	NN	Bub
?	$.	?
MARSCHALLIN	NN	MARSCHALLIN
leise	ADJD	leise
.	$.	.
Du	PPER	du
bist	VAFIN	sein
mein	PPOSAT	mein
Bub	NN	Bub
,	$,	,
du	PPER	du
bist	VAFIN	sein
mein	PPOSAT	mein
Schatz	NN	Schatz
!	$.	!
OCTAVIAN	NE	Octavian
.	$.	.
Warum	PWAV	warum
ist	VAFIN	sein
Tag	NN	Tag
?	$.	?
Ich	PPER	ich
will	VMFIN	wollen
nicht	PTKNEG	nicht
den	ART	die
Tag	NN	Tag
!	$.	!
Für	APPR	für
was	PIS	was
ist	VAFIN	sein
der	ART	die
Tag	NN	Tag
!	$.	!
Da	ADV	da
haben	VAFIN	haben
dich	PPER	du
alle	PIS	alle
!	$.	!
MARSCHALLIN	NE	MARSCHALLIN
lacht	VVFIN	lachen
leise	ADJD	leise
.	$.	.
OCTAVIAN	NE	Octavian
.	$.	.
Lachst	VVFIN	lachen
du	PPER	du
mich	PPER	ich
aus	PTKVZ	aus
?	$.	?
MARSCHALLIN	NN	MARSCHALLIN
zärtlich	ADJD	zärtlich
.	$.	.
Lach	VVIMP	lachen
ich	PPER	ich
dich	PPER	du
aus	PTKVZ	aus
?	$.	?
OCTAVIAN	NE	Octavian
.	$.	.
Engel	NE	Engel
!	$.	!
MARSCHALLIN	NE	MARSCHALLIN
.	$.	.
Schatz	NN	Schatz
du	PPER	du
,	$,	,
mein	PPOSAT	mein
junger	ADJA	jung
Schatz	NN	Schatz
!	$.	!
Ein	ART	eine
feines	ADJA	fein
Klingeln	NN	Klingel|Klingeln
.	$.	.
Horch	NE	Horch
!	$.	!
OCTAVIAN	NE	Octavian
.	$.	.
Ich	PPER	ich
will	VMFIN	wollen
nicht	PTKNEG	nicht
.	$.	.
MARSCHALLIN	NE	MARSCHALLIN
.	$.	.
Still	ADJD	still
,	$,	,
paß	VVIMP	passen
auf	PTKVZ	auf
.	$.	.
OCTAVIAN	NE	Octavian
.	$.	.
Ich	PPER	ich
will	VMFIN	wollen
nichts	PIS	nichts
hören	VVINF	hören
!	$.	!
Was	PWS	was
wirds	VVFIN	wirds
denn	ADV	denn
sein	VAINF	sein
?	$.	?
Das	ART	die
Klingeln	NN	Klingel|Klingeln
näher	PTKVZ	näher
.	$.	.
Sinds	NN	Sinds
leicht	ADJD	leicht
Lauffer	NN	Lauffer
mit	APPR	mit
Briefen	NN	Brief
und	KON	und
Komplimenten	NN	Kompliment
?	$.	?
Vom	APPRART	von
Saurau	NN	Saurau
,	$,	,
vom	APPRART	von
Hartig	NN	Hartig
,	$,	,
vom	APPRART	von
portugiesischen	ADJA	portugiesisch
Envoyé	NN	Envoyé
?	$.	?
Hier	ADV	hier
kommt	VVFIN	kommen
mir	PPER	ich
keiner	PIS	keine
herein	PTKVZ	herein
!	$.	!
Hier	ADV	hier
bin	VAFIN	sein
ich	PPER	ich
der	ART	die
Herr	NN	Herr
!	$.	!
Die	ART	die
kleine	ADJA	klein
Tür	NN	Türe
in	APPR	in
der	ART	die
Mitte	NN	Mitte
geht	VVFIN	gehen
auf	PTKVZ	auf
und	KON	und
ein	ART	eine
kleiner	ADJA	klein
Neger	NN	Neger
in	APPR	in
Gelb	NN	Gelb
,	$,	,
behängt	VVFIN	behängen
mit	APPR	mit
silbernen	ADJA	silbern
Schellen	NN	Schelle|Schellen
,	$,	,
ein	ART	eine
Präsentierbrett	NN	Präsentierbrett
mit	APPR	mit
der	ART	die
Schokolade	NN	Schokolade
tragend	ADJD	tragend
,	$,	,
trippelt	VVFIN	trippeln
über	APPR	über
die	ART	die
Schwelle	NN	Schwelle
.	$.	.
MARSCHALLIN	NE	MARSCHALLIN
.	$.	.
Schnell	ADJD	schnell
,	$,	,
da	KOUS	da
versteck	VVIMP	verstecken
Er	PPER	er
sich	PRF	sich
,	$,	,
das	ART	die
Frühstück	NN	Frühstück
ists	VVFIN	ists
.	$.	.
OCTAVIAN	NE	Octavian
gleitet	VVFIN	gleiten
hinter	APPR	hinter
den	ART	die
Schirm	NN	Schirm
.	$.	.
Die	ART	die
Tür	NN	Türe
hinter	APPR	hinter
dem	ART	die
Neger	NN	Neger
wird	VAFIN	werden
von	APPR	von
unsichtbaren	ADJA	unsichtbar
Händen	NN	Hand
geschlossen	VVPP	schließen
.	$.	.
MARSCHALLIN	NE	MARSCHALLIN
.	$.	.
Schmeiß	VVIMP	schmeißen
Er	PPER	er
doch	ADV	doch
Seinen	PPOSAT	sein
Degen	NN	Degen
hinters	APPRART	hinters
Bett	NN	Bett
.	$.	.
Octavian	NE	Octavian
fährt	VVFIN	fahren
nach	APPR	nach
dem	ART	die
Degen	NN	Degen
und	KON	und
versteckt	VVFIN	verstecken
ihn	PPER	er
.	$.	.
Marschallin	NE	Marschallin
legt	VVFIN	legen
sich	PRF	sich
zurück	PTKVZ	zurück
,	$,	,
nachdem	KOUS	nachdem
sie	PPER	sie
die	ART	die
Vorhänge	NN	Vorhang
zugezogen	VVPP	zuziehen
hat	VAFIN	haben
.	$.	.
Der	ART	die
kleine	ADJA	klein
Neger	NN	Neger
stellt	VVFIN	stellen
das	ART	die
Servierbrett	NN	Servierbrett
auf	APPR	auf
das	ART	die
kleine	ADJA	klein
Tischchen	NN	Tischchen
,	$,	,
schiebt	VVFIN	schieben
dieses	PDAT	dies
nach	APPR	nach
vorne	ADV	vorne
,	$,	,
rückt	VVFIN	rücken
das	ART	die
Sofa	NN	Sofa
hinzu	PTKVZ	hinzu
,	$,	,
verneigt	VVFIN	verneigen
sich	PRF	sich
dann	ADV	dann
tief	ADJD	tief
gegen	APPR	gegen
das	ART	die
Bett	NN	Bett
,	$,	,
die	ART	die
kleinen	ADJA	klein
Arme	NN	Arm|Arme
über	APPR	über
die	ART	die
Brust	NN	Brust
gekreuzt	VVPP	kreuzen
.	$.	.
Dann	ADV	dann
tanzt	VVFIN	tanzen
er	PPER	er
zierlich	ADJD	zierlich
nach	APPR	nach
rückwärts	ADV	rückwärts
,	$,	,
immer	ADV	immer
das	ART	die
Gesicht	NN	Gesicht
dem	ART	die
Bette	NN	Bett
zugewandt	VVPP	zuwenden
.	$.	.
An	APPR	an
der	ART	die
Tür	NN	Türe
verneigt	VVFIN	verneigen
er	PPER	er
sich	PRF	sich
nochmals	ADV	nochmals
und	KON	und
verschwindet	VVFIN	verschwinden
.	$.	.
Marschallin	NE	Marschallin
tritt	VVFIN	treten
zwischen	APPR	zwischen
den	ART	die
Bettvorhängen	NN	Bettvorhängen
hervor	PTKVZ	hervor
.	$.	.
Sie	PPER	Sie
hat	VAFIN	haben
einen	ART	eine
leichten	ADJA	leicht
mit	APPR	mit
Pelz	NN	Pelz
verbrämten	ADJA	verbrämt
Mantel	NN	Mantel
umgeschlagen	VVPP	umschlagen
.	$.	.
Octavian	NE	Octavian
kommt	VVFIN	kommen
zwischen	APPR	zwischen
der	ART	die
Mauer	NN	Mauer
und	KON	und
dem	ART	die
Wandschirm	NN	Wandschirm
hervor	PTKVZ	hervor
