Erster	ADJA	erst
Aufzug	NN	Aufzug
Das	ART	die
Wohnzimmer	NN	Wohnzimmer
der	ART	die
Familie	NN	Familie
Selicke	NN	Selicke
.	$.	.
Es	PPER	es
ist	VAFIN	sein
mäßig	ADJD	mäßig
groß	ADJD	groß
und	KON	und
sehr	ADV	sehr
bescheiden	ADJD	bescheiden
eingerichtet	VVPP	einrichten
.	$.	.
Im	APPRART	in
Vordergrunde	NN	Vordergrund
rechts	ADV	rechts
führt	VVFIN	führen
eine	ART	eine
Tür	NN	Türe
in	APPR	in
den	ART	die
Korridor	NN	Korridor
,	$,	,
im	APPRART	in
Vordergrunde	NN	Vordergrund
links	ADV	links
eine	ART	eine
in	APPR	in
das	ART	die
Zimmer	NN	Zimmer
Wendts	NE	Wendts
.	$.	.
Etwas	ADV	etwas
weiter	ADV	weiter
hinter	APPR	hinter
dieser	PDAT	dies
eine	ART	eine
Küchentür	NN	Küchentür
mit	APPR	mit
Glasfenstern	NN	Glasfenster
und	KON	und
Zwirngardinen	NN	Zwirngardinen
.	$.	.
Die	ART	die
Rückwand	NN	Rückwand
nimmt	VVFIN	nehmen
ein	ART	eine
altes	ADJA	alt
,	$,	,
schwerfälliges	ADJA	schwerfällig
,	$,	,
großgeblumtes	ADJA	großgeblumtes
Sofa	NN	Sofa
ein	PTKVZ	ein
,	$,	,
über	APPR	über
welchem	PRELS	welche
zwischen	APPR	zwischen
zwei	CARD	zwei
kleinen	ADJA	klein
,	$,	,
vergilbten	ADJA	vergilbt
Gipsstatuetten	NN	Gipsstatuetten
»	NN	»
Schiller	NE	Schiller
und	KON	und
Goethe	NE	Goethe
«	NN	«
der	ART	die
bekannte	ADJA	bekannt
Kaulbachsche	NE	Kaulbachsche
Stahlstich	NN	Stahlstich
»	NN	»
Lotte	NE	Lotte
,	$,	,
Brot	NN	Brot
schneidend	ADJD	schneidend
'	$(	'
«	NN	«
hängt	VVFIN	hängen
.	$.	.
Darunter	ADV	darunter
im	APPRART	in
Halbkranze	NN	Halbkranze
,	$,	,
symmetrisch	ADJD	symmetrisch
angeordnet	VVPP	anordnen
,	$,	,
eine	ART	eine
Anzahl	NN	Anzahl
photographischer	ADJA	photographisch
Familienporträts	NN	Familienporträt
.	$.	.
Vor	APPR	vor
dem	ART	die
Sofa	NN	Sofa
ein	ART	eine
ovaler	ADJA	oval
Tisch	NN	Tisch
,	$,	,
auf	APPR	auf
welchem	PRELS	welche
zwischen	APPR	zwischen
allerhand	ADJD	allerhand
Kaffeegeschirr	NN	Kaffeegeschirr
eine	ART	eine
brennende	ADJA	brennend
weiße	ADJA	weiß
Glaslampe	NN	Glaslampe
mit	APPR	mit
grünem	ADJA	grün
Schirm	NN	Schirm
steht	VVFIN	stehen
.	$.	.
Rechts	ADV	rechts
von	APPR	von
ihm	PPER	er
ein	ART	eine
Fenster	NN	Fenster
,	$,	,
links	ADV	links
von	APPR	von
ihm	PPER	er
eine	ART	eine
kleine	ADJA	klein
Tapetentür	NN	Tapetentür
,	$,	,
die	PRELS	die
in	APPR	in
eine	ART	eine
Kammer	NN	Kammer
führt	VVFIN	führen
.	$.	.
Außerdem	ADV	außerdem
noch	ADV	noch
,	$,	,
zwischen	APPR	zwischen
den	ART	die
beiden	PIAT	beide
Türen	NN	Tür
an	APPR	an
der	ART	die
linken	ADJA	links
Seitenwand	NN	Seitenwand
,	$,	,
ein	ART	eine
Tischchen	NN	Tischchen
mit	APPR	mit
einem	ART	eine
