Erster	ADJA	erst
Auftritt	NN	Auftritt
Adam	NE	Adam
sitzt	VVFIN	sitzen
und	KON	und
verbindet	VVFIN	verbinden
sich	PRF	sich
ein	ART	eine
Bein	NN	Bein
.	$.	.
Licht	NN	Licht
tritt	VVFIN	treten
auf	PTKVZ	auf
.	$.	.
LICHT	ADJD	licht
.	$.	.
Ei	NN	Ei
,	$,	,
was	PRELS	was
zum	APPRART	zu
Henker	NN	Henker
,	$,	,
sagt	VVFIN	sagen
,	$,	,
Gevatter	NN	Gevatter
Adam	NE	Adam
!	$.	!
Was	PWS	was
ist	VAFIN	sein
mit	APPR	mit
Euch	PPER	ihr
geschehn	VVFIN	geschehn
?	$.	?
Wie	KOUS	wie
seht	VVFIN	sehen
Ihr	PPER	sie
aus	PTKVZ	aus
?	$.	?
ADAM	NE	Adam
.	$.	.
Ja	PTKANT	ja
,	$,	,
seht	VVFIN	sehen
.	$.	.
Zum	APPRART	zu
Straucheln	NN	Straucheln
braucht	VVFIN	brauchen
's	PPER	es
doch	ADV	doch
nichts	PIS	nichts
,	$,	,
als	KOKOM	als
Füße	NN	Fuß
.	$.	.
Auf	APPR	auf
diesem	PDAT	dies
glatten	ADJA	glatt
Boden	NN	Boden
,	$,	,
ist	VAFIN	sein
ein	ART	eine
Strauch	NN	Strauch
hier	ADV	hier
?	$.	?
Gestrauchelt	VVPP	straucheln
bin	VAFIN	sein
ich	PPER	ich
hier	ADV	hier
;	$.	;
denn	KON	denn
jeder	PIS	jede
trägt	VVFIN	tragen
Den	ART	die
leid'gen	NE	leid'gen
Stein	NE	Stein
zum	APPRART	zu
Anstoß	NN	Anstoß
in	APPR	in
sich	PRF	sich
selbst	PTKVZ	selbst
.	$.	.
LICHT	ADJD	licht
.	$.	.
Nein	PTKANT	nein
,	$,	,
sagt	VVFIN	sagen
mir	PPER	ich
,	$,	,
Freund	NN	Freund
!	$.	!
Den	ART	die
Stein	NN	Stein
trüg	VVIMP	trügen
jeglicher	PIAT	jegliche
–	NN	–
?	$.	?
ADAM	NE	Adam
.	$.	.
Ja	PTKANT	ja
,	$,	,
in	APPR	in
sich	PRF	sich
selbst	PTKVZ	selbst
!	$.	!
LICHT	ADJD	licht
.	$.	.
Verflucht	VVFIN	verfluchen
das	PDS	die
!	$.	!
ADAM	NE	Adam
.	$.	.
Was	PWS	was
beliebt	ADJD	beliebt
?	$.	?
LICHT	ADJD	licht
.	$.	.
Ihr	PPER	sie
stammt	VVFIN	stammen
von	APPR	von
einem	ART	eine
lockern	ADJA	locker
Ältervater	NN	Ältervater
,	$,	,
Der	PRELS	die
so	ADV	so
beim	APPRART	bei
Anbeginn	NN	Anbeginn
der	ART	die
Dinge	NN	Ding
fiel	VVFIN	fallen
,	$,	,
Und	KON	und
wegen	APPR	wegen
seines	PPOSAT	sein
Falls	NN	Fall
berühmt	ADJD	berühmt
geworden	VAPP	werden
;	$.	;
Ihr	PPER	sie
seid	VAFIN	sein
doch	ADV	doch
nicht	PTKNEG	nicht
–	ADJD	–
?	$.	?
ADAM	NE	Adam
.	$.	.
Nun	ADV	nun
?	$.	?
LICHT	ADJD	licht
.	$.	.
Gleichfalls	ADV	gleichfalls
–	ADJD	–
?	$.	?
ADAM	NE	Adam
.	$.	.
Ob	KOUS	ob
ich	PPER	ich
–	ADJD	–
?	$.	?
Ich	PPER	ich
glaube	VVFIN	glauben
–	ADJD	–
!	$.	!
Hier	ADV	hier
bin	VAFIN	sein
ich	PPER	ich
hingefallen	VVPP	hinfallen
,	$,	,
sag	VVIMP	sagen
ich	PPER	ich
Euch	PPER	ihr
.	$.	.
LICHT	ADJD	licht
.	$.	.
Unbildlich	ADJD	Unbildlich
hingeschlagen	VVPP	hinschlagen
?	$.	?
ADAM	NE	Adam
.	$.	.
Ja	PTKANT	ja
,	$,	,
unbildlich	ADJD	unbildlich
.	$.	.
Es	PPER	es
mag	VMFIN	mögen
ein	ART	eine
schlechtes	ADJA	schlecht
Bild	NN	Bild
gewesen	VAPP	sein
sein	VAINF	sein
.	$.	.
LICHT	ADJD	licht
.	$.	.
Wann	PWAV	wann
trug	VVFIN	tragen
sich	PRF	sich
die	ART	die
Begebenheit	NN	Begebenheit
denn	ADV	denn
zu	PTKVZ	zu
?	$.	?
ADAM	NE	Adam
.	$.	.
Jetzt	ADV	jetzt
,	$,	,
in	APPR	in
dem	ART	die
Augenblick	NN	Augenblick
,	$,	,
da	KOUS	da
