[	$(	[
Prolog	NE	Prolog
]	$(	]
Noch	KON	noch
war	VAFIN	sein
der	ART	die
Vorhang	NN	Vorhang
zu	PTKVZ	zu
,	$,	,
so	ADV	so
tratt	NN	tratt
der	ART	die
große	ADJA	groß
König	NN	König
mit	APPR	mit
seiner	PPOSAT	sein
Suite	NN	Suite
auf	APPR	auf
das	ART	die
Theater	NN	Theater
,	$,	,
und	KON	und
nahm	VVFIN	nehmen
die	ART	die
da	ADV	da
befindlichen	ADJA	befindlich
Seitenlogen	NN	Seitenloge
ein	PTKVZ	ein
.	$.	.
Das	ART	die
Parterre	NN	Parterre
und	KON	und
übrige	ADJA	übrig
Volk	NN	Volk
lag	VVFIN	liegen
auf	APPR	auf
den	ART	die
Knien	NN	Knie|Knien
,	$,	,
bis	KOUS	bis
er	PPER	er
den	ART	die
Wink	NN	Wink
zum	APPRART	zu
Aufstehen	NN	Aufstehen
gab	VVFIN	geben
.	$.	.
Zuma	NE	Zuma
hatte	VAFIN	haben
der	ART	die
Feyerlichkeit	NN	Feyerlichkeit
wegen	APPO	wegen
,	$,	,
den	ART	die
schwarzen	ADJA	schwarz
Prinzen	NN	Prinz
auf	APPR	auf
dem	ART	die
Arm	NN	Arm
,	$,	,
und	KON	und
stopfte	VVFIN	stopfen
ihm	PPER	er
den	ART	die
Mund	NN	Mund
voll	ADJD	voll
Biscuit	NN	Biscuit
,	$,	,
wegen	APPR	wegen
seines	PPOSAT	sein
Lermens	NN	Lermens
und	KON	und
Schreyens	NN	Schreyens
,	$,	,
das	PRELS	die
der	ART	die
große	ADJA	groß
König	NN	König
vor	APPR	vor
Majestät	NN	Majestät
widrig	ADJD	widrig
hielt	VVFIN	halten
,	$,	,
der	ART	die
Monarch	NN	Monarch
winkte	VVFIN	winken
,	$,	,
und	KON	und
es	PPER	es
begann	VVFIN	beginnen
.	$.	.
HARLEQUIN	NN	HARLEQUIN
,	$,	,
als	KOKOM	als
Prolog	NN	Prolog
mit	APPR	mit
einer	ART	eine
Spiz-Geige	NN	Spiz-Geige
.	$.	.
Ist	VAFIN	sein
doch	ADV	doch
die	ART	die
Welt	NN	Welt
,	$,	,
So	ADV	so
dumm	ADJD	dumm
bestellt	VVPP	bestellen
,	$,	,
Und	KON	und
Haltens	NN	Haltens
für	APPR	für
gut	ADJD	gut
Was	PIS	was
Jupiter	NE	Jupiter
thut	NE	thut
–	ADJD	–
Und	KON	und
Jupiter	NE	Jupiter
lacht	VVFIN	lachen
–	ADJA	–
Dum	NN	Dum
!	$.	!
du	PPER	du
!	$.	!
Di	NE	Di
!	$.	!
di	NE	di
!	$.	!
Du	PPER	du
!	$.	!
du	PPER	du
!	$.	!
Wär	ADJD	Wär
ich	PPER	ich
nur	ADV	nur
ein	ART	eine
Gott	NN	Gott
,	$,	,
Was	PWS	was
hätt	VVFIN	hätt
es	PPER	es
für	APPR	für
Noth	NE	Noth
!	$.	!
Ich	PPER	ich
ließ	VVFIN	lassen
sie	PPER	sie
halt	ADV	halt
leben	VVINF	leben
,	$,	,
Ließ	VVFIN	lassen
sie	PPER	sie
halt	ADV	halt
schweben	VVFIN	schweben
In	APPR	in
freudigem	ADJA	freudig
Sinn	NN	Sinn
.	$.	.
Dum	NN	Dum
!	$.	!
du	PPER	du
!	$.	!
Di	NE	Di
!	$.	!
du	PPER	du
Du	PPER	du
!	$.	!
du	PPER	du
!	$.	!
Hungern	NN	Hungern
die	ART	die
Kinder	NN	Kind
,	$,	,
Sie	PPER	Sie
opfern	VVFIN	opfern
die	ART	die
Rinder	NN	Rind
,	$,	,
Dem	ART	die
