Ouvertüre	NN	Ouvertüre
Erster	ADJA	erst
Aufzug	NN	Aufzug
Hofraum	NN	Hofraum
Links	NE	Link
das	ART	die
Haus	NN	Haus
des	ART	die
Herrn	NN	Herr
Reich	NE	Reich
,	$,	,
rechts	APPR	rechts
das	PRELS	die
des	ART	die
Herrn	NN	Herr
Fluth	NE	Fluth
;	$.	;
beide	PIS	beide
mit	APPR	mit
praktikablen	ADJA	praktikabel
Türen	NN	Tür
.	$.	.
Im	APPRART	in
Hintergrunde	NN	Hintergrund
ein	ART	eine
Staketenzaun	NN	Staketenzaun
mit	APPR	mit
einer	ART	eine
Tür	NN	Türe
,	$,	,
durch	APPR	durch
den	ART	die
man	PIS	man
die	ART	die
andere	PIAT	andere
Seite	NN	Seite
der	ART	die
Straße	NN	Straße
erblickt	VVPP	erblicken
.	$.	.
Es	PPER	es
ist	VAFIN	sein
nachmittags	ADV	nachmittags
an	APPR	an
einem	ART	eine
Sommertage	NN	Sommertag
.	$.	.
Erster	ADJA	erst
Auftritt	NN	Auftritt
Frau	NN	Frau
Fluth	NE	Fluth
,	$,	,
einen	ART	eine
offenen	ADJA	offen
Brief	NN	Brief
in	APPR	in
der	ART	die
Hand	NN	Hand
,	$,	,
tritt	VVFIN	treten
aus	APPR	aus
ihrem	PPOSAT	ihr
Hause	NN	Haus
.	$.	.
Nr	NE	<UNKNOWN>
.	$.	.
1.	ADJA	1.
Duett	NN	Duett
FRAU	NN	Frau
FLUTH	NE	FLUTH
.	$.	.
Nein	PTKANT	nein
,	$,	,
das	PDS	die
ist	VAFIN	sein
wirklich	ADJD	wirklich
doch	KON	doch
zu	PTKA	zu
keck	ADJD	keck
!	$.	!
Wie	KOUS	wie
kann	VMFIN	können
er	PPER	er
es	PPER	es
nur	ADV	nur
wagen	VVINF	wagen
,	$,	,
Der	ART	die
vollgetrunkne	ADJA	vollgetrunkne
dicke	ADJA	dick
Geck	NN	Geck
,	$,	,
Mit	APPR	mit
Liebe	NN	Liebe
mich	PPER	ich
zu	PTKZU	zu
plagen	VVINF	plagen
!	$.	!
Ja	PTKANT	ja
,	$,	,
wenn	KOUS	wenn
es	PPER	es
noch	ADV	noch
ein	ART	eine
Ritter	NN	Ritter
wär	ADJD	wär
'	$(	'
,	$,	,
Fein	NE	Fein
zierlich	ADJD	zierlich
–	ADJD	–
jung	ADJD	jung
an	APPR	an
Jahren	NN	Jahr
–	NN	–
Doch	KON	doch
solch	PIAT	solche
ein	ART	eine
fetter	ADJA	fett
Gast	NN	Gast
wie	KOKOM	wie
der	PDS	die
...	$.	...
Da	ADV	da
soll	VMFIN	sollen
mich	PRF	ich
Gott	NN	Gott
bewahren	VVINF	bewahren
!	$.	!
Hab	NN	Hab
'	$(	'
ich	PPER	ich
denn	ADV	denn
wirklich	ADJD	wirklich
recht	ADJD	recht
gelesen	VVPP	lesen
?	$.	?
Sie	PPER	Sie
liest	VVFIN	lesen
.	$.	.
»	ADJA	»
O	NN	O
schönste	ADJA	schön
Frau	NN	Frau
,	$,	,
wir	PPER	wir
taugen	VVFIN	taugen
Zusammen	ADV	zusammen
gar	ADV	gar
zu	PTKA	zu
gut	ADJD	gut
,	$,	,
Ihr	PPER	sie
habt	VAFIN	haben
verliebte	ADJA	verliebt
Augen	NN	Auge
Und	KON	und
scheint	VVFIN	scheinen
von	APPR	von
heißem	ADJA	heiß
Blut	NN	Blut
...	$.	...
«	NN	«
Da	ADV	da
hört	VVFIN	hören
mir	PPER	ich
nur	ADV	nur
den	ART	die
Grobian	NN	Grobian
!	$.	!
Was	PWS	was
gehn	VVFIN	gehn
ihn	PPER	er
meine	PPOSAT	mein
Augen	NN	Auge
an	PTKVZ	an
?	$.	?
»	NN	»
Ihr	PPOSAT	ihr
liebt	VVFIN	lieben
den	ART	die
Sekt	NN	Sekt
,	$,	,
