Personen	NN	Person
.	$.	.
Graf	NE	Graf
Arpad	NE	Arpad
Pazmandy	NE	Pazmandy
Mizzi	NE	Mizzi
,	$,	,
seine	PPOSAT	sein
Tochter	NN	Tochter
Egon	NE	Egon
Fürst	NN	Fürst
Ravenstein	NE	Ravenstein
Lolo	NE	Lolo
Langhuber	NE	Langhuber
Philipp	NE	Philipp
Professor	NN	Professor
Windhofer	NE	Windhofer
Wasner	NE	Wasner
Der	ART	die
Gärtner	NN	Gärtner
Der	ART	die
Diener	NN	Diener
[	$(	[
Stücktext	NN	Stücktext
]	$(	]
Garten	NN	Garten
der	ART	die
gräflichen	ADJA	gräflichen
Villa	NN	Villa
.	$.	.
Hohes	ADJA	hoch
Gitter	NN	Gitter
hinten	ADV	hinten
.	$.	.
Tor	NN	Tor
ungefähr	ADJD	ungefähr
Mitte	NN	Mitte
,	$,	,
etwas	ADV	etwas
weiter	ADV	weiter
nach	APPR	nach
rechts	ADV	rechts
.	$.	.
Links	ADV	links
vorn	ADV	vorn
die	ART	die
Front	NN	Front
der	ART	die
einstöckigen	ADJA	einstöckig
Villa	NN	Villa
,	$,	,
die	PRELS	die
einmal	ADV	einmal
ein	ART	eine
Jagdschlößchen	NN	Jagdschlösschen
war	VAFIN	sein
,	$,	,
vor	APPR	vor
180	CARD	180
Jahren	NN	Jahr
gebaut	VVPP	bauen
,	$,	,
vor	APPR	vor
30	CARD	30
Jahren	NN	Jahr
renoviert	VVPP	renovieren
.	$.	.
Längs	APPR	längs
des	ART	die
erhöhten	ADJA	erhöht
Parterres	NN	Parterre
zieht	VVFIN	zeihen|ziehen
eine	PIS	eine
nicht	PTKNEG	nicht
tiefe	ADJA	tief
Terrasse	NN	Terrasse
,	$,	,
von	APPR	von
der	PRELS	die
drei	CARD	drei
breite	ADJA	breit
Stufen	NN	Stufe
in	APPR	in
den	ART	die
Garten	NN	Garten
führen	VVINF	führen
.	$.	.
Von	APPR	von
der	ART	die
Terrasse	NN	Terrasse
aus	APPR	aus
eine	ART	eine
offene	ADJA	offen
Glastür	NN	Glastür
in	APPR	in
den	ART	die
Salon	NN	Salon
.	$.	.
Der	ART	die
erste	ADJA	erst
Stock	NN	Stock
hat	VAFIN	haben
einfache	ADJA	einfach
Fenster	NN	Fenster
;	$.	;
über	APPR	über
dem	ART	die
ersten	ADJA	erst
Stock	NN	Stock
ein	ART	eine
kleiner	ADJA	klein
,	$,	,
blumengeschmückter	ADJA	blumengeschmückter
Balkon	NN	Balkon
,	$,	,
der	PRELS	die
zu	APPR	zu
einer	ART	eine
Art	NN	Art
von	APPR	von
Mansarde	NN	Mansarde
