Erster	ADJA	erst
Akt	NN	Akt
.	$.	.
(	$(	(
Bei	APPR	bei
Frau	NN	Frau
Hergentheim	NN	Hergentheim
.	$.	.
Hinterzimmer	NN	Hinterzimmer
,	$,	,
welches	PRELS	welche
als	KOKOM	als
Wohnstube	NN	Wohnstube
dient	VVFIN	dienen
.	$.	.
Im	APPRART	in
Hintergrunde	NN	Hintergrund
links	ADV	links
eine	ART	eine
breite	ADJA	breit
Thür	NN	Thür
zu	APPR	zu
einem	ART	eine
Vorderzimmer	NN	Vorderzimmer
,	$,	,
im	APPRART	in
Hintergrunde	NN	Hintergrund
rechts	ADV	rechts
Entreethür	NN	Entreethür
.	$.	.
–	ADJA	–
Rechts	NN	Recht
vorn	ADV	vorn
ein	ART	eine
Fenster	NN	Fenster
,	$,	,
links	ADV	links
Thür	NN	Thür
zu	APPR	zu
einem	ART	eine
Schlafzimmer	NN	Schlafzimmer
.	$.	.
–	ADJD	–
Bürgerlich	ADJD	bürgerlich
altmodische	ADJA	altmodisch
Ausstattung	NN	Ausstattung
.	$.	.
Links	ADV	links
ein	ART	eine
Etablissement	NN	Etablissement
.	$.	.
Sofa	NN	Sofa
,	$,	,
Sofatisch	NN	Sofatisch
,	$,	,
Sessel	NN	Sessel
.	$.	.
–	ADJA	–
Rechts	NN	Recht
vor	APPR	vor
dem	ART	die
Fenster	NN	Fenster
ein	ART	eine
großer	ADJA	groß
,	$,	,
unpolierter	ADJA	unpolierter
Zeichentisch	NN	Zeichentisch
,	$,	,
weiter	ADV	weiter
hinten	ADV	hinten
ein	ART	eine
Spiegel	NN	Spiegel
.	$.	.
Zwischen	APPR	zwischen
den	ART	die
Thüren	NN	Thüren
des	ART	die
Hintergrundes	NN	Hintergrund
ein	ART	eine
Glasschrank	NN	Glasschrank
mit	APPR	mit
Porzellan	NN	Porzellan
etc	ADV	etc.
.	$.	.
)	$(	)
1.	ADJA	1.
Scene	NN	Scene
.	$.	.
Frau	NN	Frau
Hergentheim	NN	Hergentheim
.	$.	.
Laura	NE	Laura
.	$.	.
Frau	NN	Frau
Hergentheim	NN	Hergentheim
(	$(	(
am	APPRART	an
Fenster	NN	Fenster
nähend	ADJD	nähend
)	$(	)
.	$.	.
Na	ITJ	na
,	$,	,
Lorchen	NN	Lorchen
,	$,	,
arbeit	NN	Arbeit
'	$(	'
,	$,	,
arbeit	ADJD	arbeit
'	$(	'
.	$.	.
Laura	NE	Laura
(	$(	(
