Erste	ADJA	erst
Szene	NN	Szene
Bezirksamtmann	NN	Bezirksamtmann
.	$.	.
Seine	PPOSAT	sein
Frau	NN	Frau
.	$.	.
Babette	NE	Babette
.	$.	.
BEZIRKSAMTMANN	NE	BEZIRKSAMTMANN
.	$.	.
Babette	NE	Babette
,	$,	,
es	PPER	es
fehlen	VVFIN	fehlen
noch	ADV	noch
zwei	CARD	zwei
Stühle	NN	Stuhl
.	$.	.
Holen	VVFIN	holen
Sie	PPER	Sie
zwei	CARD	zwei
aus	APPR	aus
dem	ART	die
Schlafzimmer	NN	Schlafzimmer
.	$.	.
FRAU	NN	Frau
BEZIRKSAMTMANN	NN	Bezirksamtmann
.	$.	.
Die	ART	die
altdeutschen	ADJA	altdeutsch
?	$.	?
Die	ART	die
geschnitzten	ADJA	geschnitzt
?	$.	?
BEZIRKSAMTMANN	NE	BEZIRKSAMTMANN
.	$.	.
Ja	PTKANT	ja
.	$.	.
Warum	PWAV	warum
?	$.	?
FRAU	NN	Frau
BEZIRKSAMTMANN	NN	Bezirksamtmann
.	$.	.
Was	PWS	was
fällt	VVFIN	fallen|fällen
dir	PRF	du
ein	PTKVZ	ein
?	$.	?
Das	PDS	die
ginge	VVFIN	gehen
mir	PPER	ich
ab	PTKVZ	ab
,	$,	,
unsere	PPOSAT	unser
Renaissancestühle	NN	Renaissancestühle
!	$.	!
BEZIRKSAMTMANN	NE	BEZIRKSAMTMANN
.	$.	.
Schon	ADV	schon
gut	ADJD	gut
,	$,	,
schon	ADV	schon
gut	ADJD	gut
.	$.	.
Babette	NE	Babette
,	$,	,
holen	VVFIN	holen
Sie	PPER	Sie
die	ART	die
Sessel	NN	Sessel
aus	APPR	aus
dem	ART	die
Büro	NN	Büro
.	$.	.
BABETTE	NE	Babette
.	$.	.
Ja	PTKANT	ja
,	$,	,
gnä	ADJA	gnä
Herr	NN	Herr
.	$.	.
Ab	PTKVZ	ab
.	$.	.
Zweite	ADJA	zweit
Szene	NN	Szene
Bezirksamtmann	NN	Bezirksamtmann
.	$.	.
Seine	PPOSAT	sein
Frau	NN	Frau
.	$.	.
BEZIRKSAMTMANN	NE	BEZIRKSAMTMANN
.	$.	.
Du	PPER	du
bist	VAFIN	sein
heute	ADV	heute
so	ADV	so
aufgeregt	VVPP	aufregen
.	$.	.
Was	PWS	was
hast	VAFIN	haben
du	PPER	du
?	$.	?
FRAU	NN	Frau
BEZIRKSAMTMANN	NN	Bezirksamtmann
.	$.	.
Frag	VVIMP	fragen
noch	ADV	noch
!	$.	!
So	ADV	so
eine	ART	eine
Verschwendung	NN	Verschwendung
!	$.	!
Zwei	CARD	zwei
Gänse	NN	Gans
müssen	VMFIN	müssen
in	APPR	in
die	ART	die
Küche	NN	Küche
,	$,	,
der	ART	die
Weinkeller	NN	Weinkeller
wird	VAFIN	werden
geplündert	VVPP	plündern
,	$,	,
vom	APPRART	von
Konditor	NN	Konditor
wird	VAFIN	werden
eine	ART	eine
Torte	NN	Torte
geholt	VVPP	holen
.	$.	.
Und	KON	und
für	APPR	für
wen	PWS	wer
?	$.	?
Für	APPR	für
was	PIS	was
?	$.	?
BEZIRKSAMTMANN	NE	BEZIRKSAMTMANN
.	$.	.
Aber	KON	aber
Amalia	NE	Amalia
!	$.	!
FRAU	NN	Frau
BEZIRKSAMTMANN	NN	Bezirksamtmann
.	$.	.
Sei	VAFIN	sein
ruhig	ADJD	ruhig
!	$.	!
Meinen	PPOSAT	mein
Salon	NN	Salon
muß	VMFIN	müssen
ich	PPER	ich
abtreten	VVINF	abtreten
,	$,	,
den	ART	die
Gang	NN	Gang
muß	VMFIN	müssen
ich	PPER	ich
mir	PPER	ich
verschmutzen	VVINF	verschmutzen
lassen	VVINF	lassen
.	$.	.
Und	KON	und
alles	PIS	alle
,	$,	,
weil	KOUS	weil
der	ART	die
Herr	NN	Herr
Bezirksamtsdiener	NN	Bezirksamtsdiener
Neusigl	NN	Neusigl
die	ART	die
silberne	ADJA	silbern
Verdienstmedaille	NN	Verdienstmedaille
bekommen	VVPP	bekommen
hat	VAFIN	haben
!	$.	!
Wo	PWAV	wo
ist	VAFIN	sein
denn	ADV	denn
dein	PPOSAT	dein
Orden	NN	Orden
?	$.	?
BEZIRKSAMTMANN	NE	BEZIRKSAMTMANN
.	$.	.
Daß	KOUS	dass
ihr	PPER	ihr
Frauen	NN	Frau
so	ADV	so
gar	ADV	gar
keine	PIAT	keine
Vernunft	NN	Vernunft
habt	VAFIN	haben
!	$.	!
FRAU	NN	Frau
BEZIRKSAMTMANN	NN	Bezirksamtmann
.	$.	.
Natürlich	ADV	natürlich
!	$.	!
Das	PDS	die
ist	VAFIN	sein
unvernünftig	ADJD	unvernünftig
.	$.	.
Meinst	VVFIN	meinen
du	PPER	du
,	$,	,
ich	PPER	ich
sehe	VVFIN	sehen
nicht	PTKNEG	nicht
,	$,	,
wie	KOUS	wie
dieses	PDAT	dies
Pack	NN	Pack
mit	APPR	mit
jedem	PIAT	jede
Tag	NN	Tag
hochmütiger	ADJD	hochmütig
wird	VAFIN	werden
?	$.	?
Die	ART	die
Neusigl	NN	Neusigl
findet	VVFIN	finden
es	PPER	es
kaum	ADV	kaum
der	ART	die
Mühe	NN	Mühe
wert	ADJD	wert
,	$,	,
mich	PPER	ich
zu	PTKZU	zu
grüßen	VVINF	grüßen
.	$.	.
BEZIRKSAMTMANN	NE	BEZIRKSAMTMANN
.	$.	.
Ja	PTKANT	ja
,	$,	,
aber	ADV	aber
...	$.	...
FRAU	NN	Frau
BEZIRKSAMTMANN	NN	Bezirksamtmann
.	$.	.
Kein	PIAT	keine
aber	ADV	aber
!	$.	!
Diese	PDAT	dies
subalterne	ADJA	subaltern
Person	NN	Person
darf	VMFIN	dürfen
sich	PRF	sich
das	ART	die
nicht	PTKNEG	nicht
erlauben	VVINF	erlauben
.	$.	.
BEZIRKSAMTMANN	NE	BEZIRKSAMTMANN
.	$.	.
Ich	PPER	ich
kann	VMFIN	können
doch	ADV	doch
nicht	PTKNEG	nicht
die	ART	die
Frau	NN	Frau
meines	PPOSAT	mein
Amtsdieners	NN	Amtsdiener
zur	APPRART	zu
Rede	NN	Rede
stellen	VVINF	stellen
.	$.	.
FRAU	NN	Frau
BEZIRKSAMTMANN	NN	Bezirksamtmann
.	$.	.
Kannst	VMFIN	können
du	PPER	du
nicht	PTKNEG	nicht
?	$.	?
Was	PWS	was
kannst	VMFIN	können
du	PPER	du
überhaupt	ADV	überhaupt
?	$.	?
BEZIRKSAMTMANN	NE	BEZIRKSAMTMANN
.	$.	.
Amalia	NE	Amalia
!	$.	!
FRAU	NN	Frau
BEZIRKSAMTMANN	NN	Bezirksamtmann
.	$.	.
Schweig	VVIMP	schweigen
!	$.	!
Ist	VAFIN	sein
es	PPER	es
vielleicht	ADV	vielleicht
nicht	PTKNEG	nicht
wahr	ADJD	wahr
,	$,	,
daß	KOUS	dass
dein	PPOSAT	dein
eigener	ADJA	eigen
Amtsdiener	NN	Amtsdiener
dir	PRF	du
vorgezogen	VVPP	vorziehen
wird	VAFIN	werden
?	$.	?
BEZIRKSAMTMANN	NE	BEZIRKSAMTMANN
.	$.	.
Vorgezogen	VVPP	vorziehen
!	$.	!
Da	ADV	da
hört	VVFIN	hören
sich	PRF	sich
doch	ADV	doch
...	$.	...
FRAU	NN	Frau
BEZIRKSAMTMANN	NN	Bezirksamtmann
.	$.	.
Ja	PTKANT	ja
,	$,	,
vorgezogen	VVPP	vorziehen
