Erster	ADJA	erst
Akt	NN	Akt
.	$.	.
(	$(	(
Seeufer	NN	Seeufer
,	$,	,
das	ART	die
Meer	NN	Meer
ist	VAFIN	sein
noch	ADV	noch
unruhig	ADJD	unruhig
,	$,	,
ein	ART	eine
Gewitter	NN	Gewitter
,	$,	,
das	PRELS	die
fortzieht	VVFIN	fortzieht
.	$.	.
)	$(	)
Walther	NE	Walther
von	APPR	von
Berneck	NN	Berneck
.	$.	.
Rudolph	NE	Rudolph
von	APPR	von
Ebenburg	NE	Ebenburg
.	$.	.
Heinrich	NE	Heinrich
von	APPR	von
Orla	NE	Orla
,	$,	,
der	PRELS	die
für	APPR	für
sich	PRF	sich
auf	PTKVZ	auf
und	KON	und
ab	ADV	ab
geht	VVFIN	gehen
,	$,	,
Wilhelm	NE	Wilhelm
und	KON	und
andere	PIS	andere
Knappen	NN	Knappe
.	$.	.
–	NN	–
Rudolph	NE	Rudolph
.	$.	.
Ich	PPER	ich
eile	VVFIN	eilen
,	$,	,
um	KOUI	um
so	ADV	so
bald	ADV	bald
als	KOKOM	als
möglich	ADJD	möglich
in	APPR	in
Deutschland	NE	Deutschland
zu	PTKZU	zu
sein	VAINF	sein
.	$.	.
Walther	NE	Walther
.	$.	.
Alle	PIAT	alle
meine	PPOSAT	mein
Wünsche	NN	Wunsch
gehn	VVFIN	gehn
mit	APPR	mit
Dir	PPER	du
,	$,	,
guter	ADJA	gut
Rudolph	NE	Rudolph
.	$.	.
Verfüge	VVFIN	verfügen
Dich	PPER	du
dann	ADV	dann
sogleich	ADV	sogleich
nach	APPR	nach
meinem	PPOSAT	mein
Schlosse	NN	Schloss
,	$,	,
und	KON	und
bringe	VVFIN	bringen
meiner	PPOSAT	mein
Gattin	NN	Gattin
und	KON	und
meinen	PPOSAT	mein
Kindern	NN	Kind
Nachricht	NN	Nachricht
von	APPR	von
mir	PPER	ich
;	$.	;
erzähle	VVFIN	erzählen
ihr	PPER	ihr
,	$,	,
wie	KOUS	wie
ich	PPER	ich
tausendmal	ADV	tausendmal
unter	APPR	unter
den	ART	die
Säbeln	NN	Säbel|Säbeln
der	ART	die
Ungläubigen	NN	Ungläubige
dem	ART	die
Tode	NN	Tod
ausgesetzt	VVPP	aussetzen
war	VAFIN	sein
,	$,	,
wie	KOUS	wie
auf	APPR	auf
der	ART	die
Hinreise	NN	Hinreise
nach	APPR	nach
dem	ART	die
gelobten	ADJA	gelobt
Lande	NN	Land
