Erster	ADJA	erst
Akt	NN	Akt
Ein	ART	eine
schlechtes	ADJA	schlecht
Zimmer	NN	Zimmer
im	APPRART	in
Wirtshaus	NN	Wirtshaus
»	NN	»
Zum	APPRART	zu
Gelben	ADJA	gelb
Kreuz	NN	Kreuz
«	ADJD	«
:	$.	:
die	ART	die
Art	NN	Art
wie	KOKOM	wie
es	PPER	es
möblieret	VVFIN	möblieret
sein	VAINF	sein
muß	VMFIN	müssen
,	$,	,
ist	VAFIN	sein
aus	APPR	aus
dem	ART	die
Akt	NN	Akt
selbst	ADV	selbst
zu	PTKZU	zu
ersehn	VVINF	ersehn
:	$.	:
auf	APPR	auf
der	ART	die
Seite	NN	Seite
eine	ART	eine
Türe	NN	Türe
,	$,	,
die	PRELS	die
in	APPR	in
eine	ART	eine
Nebenkammer	NN	Nebenkammer
führt	VVFIN	führen
.	$.	.
Lieutenant	ADJD	Lieutenant
von	APPR	von
Gröningseck	NN	Gröningseck
führt	VVFIN	führen
Frau	NN	Frau
Humbrecht	NN	Humbrecht
an	APPR	an
der	ART	die
Hand	NN	Hand
herein	PTKVZ	herein
.	$.	.
Evchen	NE	Evchen
ihre	PPOSAT	ihr
Tochter	NN	Tochter
geht	VVFIN	gehen
hinterdrein	ADV	hinterdrein
.	$.	.
Die	ART	die
Frauenzimmer	NN	Frauenzimmer
haben	VAFIN	haben
Domino	NE	<UNKNOWN>
,	$,	,
er	PPER	er
eine	ART	eine
Wildschur	NN	Wildschur
an	PTKVZ	an
;	$.	;
alle	PIS	alle
noch	ADV	noch
ihre	PPOSAT	ihr
Masken	NN	Maske
vor	PTKVZ	vor
.	$.	.
MARIANEL	NE	MARIANEL
setzt	VVFIN	setzen
ein	ART	eine
Licht	NN	Licht
auf	APPR	auf
den	ART	die
Tisch	NN	Tisch
,	$,	,
im	APPRART	in
Abgehn	NN	Abgehn
.	$.	.
Sie	PPER	Sie
haben	VAFIN	haben
schon	ADV	schon
befohlen	VVPP	befehlen
?	$.	?
Lieutenant	NE	Lieutenant
winkt	VVFIN	winken
ja	ADV	ja
,	$,	,
Magd	NN	Magd
ab	PTKVZ	ab
.	$.	.
FRAU	NN	Frau
HUMBRECHT	NN	HUMBRECHT
die	ART	die
Maske	NN	Maske
vom	APPRART	von
Gesicht	NN	Gesicht
ziehend	ADJD	ziehend
.	$.	.
Herr	NN	Herr
Hauptmann	NE	Hauptmann
!	$.	!
Sie	PPER	Sie
stehn	VVFIN	stehn
mir	PPER	ich
doch	ADV	doch
–	ADJD	–
VON	APPR	von
GRÖNINGSECK	NN	GRÖNINGSECK
wirft	VVFIN	werfen
Wildschur	NN	Wildschur
,	$,	,
Maske	NN	Maske
und	KON	und
Hut	NN	Hut
hin	PTKVZ	hin
.	$.	.
Für	APPR	für
alles	PIS	alle
,	$,	,
liebe	ADJA	lieb
Frau	NN	Frau
Humbrecht	NN	Humbrecht
!	$.	!
für	APPR	für
alles	PIS	alle
!	$.	!
–	NN	–
Ein	ART	eine
Mäulchen	NN	Mäulchen
,	$,	,
Kleine	NN	Kleine
;	$.	;
das	PDS	die
ist	VAFIN	sein
Ballrecht	NN	Ballrecht
:	$.	:
Zieht	VVFIN	zeihen|ziehen
Evchen	NE	Evchen
die	ART	die
Maske	NN	Maske
auch	ADV	auch
ab	PTKVZ	ab
.	$.	.
sei	VAFIN	sein
doch	ADV	doch
nicht	PTKNEG	nicht
so	ADV	so
kleinstädtisch	ADJD	kleinstädtisch
;	$.	;
ein	ART	eine
Mäulchen	NN	Mäulchen
!	$.	!
sag	VVIMP	sagen
ich	PPER	ich
.	$.	.
Küßt	VVFIN	küssen
sie	PPER	sie
;	$.	;
zur	APPRART	zu
Mutter	NN	Mutter
.	$.	.
Noch	ADV	noch
aber	ADV	aber
bin	VAFIN	sein
ich	PPER	ich
nicht	PTKNEG	nicht
Hauptmann	NE	Hauptmann
,	$,	,
und	KON	und
ich	PPER	ich
laß	ADJD	laß
mich	PRF	ich
nicht	PTKNEG	nicht
gern	ADV	gern
mehr	ADV	mehr
schelten	VVINF	schelten
,	$,	,
als	KON	als
ich	PPER	ich
bin	VAFIN	sein
.	$.	.
FRAU	NN	Frau
HUMBRECHT	NN	HUMBRECHT
verneigt	VVFIN	verneigen
sich	PRF	sich
.	$.	.
Wie	KOUS	wie
Sie	PPER	Sie
befehlen	VVINF	befehlen
;	$.	;
Sie	PPER	Sie
stehn	VVFIN	stehn
mir	PPER	ich
doch	ADV	doch
,	$,	,
Herr	NN	Herr
Major	NN	Major
–	ADJD	–
VON	APPR	von
GRÖNINGSECK	NN	GRÖNINGSECK
.	$.	.
Bravo	NN	Bravo
!	$.	!
bravo	ITJ	bravo
!	$.	!
immer	ADV	immer
besser	ADJD	gut
!	$.	!
ha	NE	ha
ha	NE	ha
ha	NE	ha
!	$.	!
EVCHEN	NN	EVCHEN
.	$.	.
Ei	NN	Ei
,	$,	,
Mutter	NN	Mutter
,	$,	,
stell	VVIMP	stellen
Sie	PPER	Sie
sich	PRF	sich
doch	ADV	doch
nicht	PTKNEG	nicht
so	ADV	so
artig	ADJD	artig
;	$.	;
Major	NN	Major
ist	VAFIN	sein
ja	ADV	ja
noch	ADV	noch
mehr	ADV	mehr
als	KOKOM	als
Hauptmann	NN	Hauptmann
,	$,	,
Sie	PPER	Sie
weiß	VVFIN	wissen
ja	ADV	ja
gar	ADV	gar
nichts	PIS	nichts
.	$.	.
–	NN	–
Der	ART	die
Herr	NN	Herr
Lieutenant	NE	Lieutenant
wohnt	VVFIN	wohnen
schon	ADV	schon
einen	ART	eine
ganzen	ADJA	ganz
Monat	NN	Monat
bei	APPR	bei
uns	PPER	wir
.	$.	.
–	NN	–
VON	APPR	von
GRÖNINGSECK	NN	GRÖNINGSECK
.	$.	.
Einen	ART	eine
Monat	NN	Monat
und	KON	und
drei	CARD	drei
Tage	NN	Tag
,	$,	,
mein	PPOSAT	mein
Kind	NN	Kind
!	$.	!
ich	PPER	ich
hab	VAIMP	haben
jede	PIAT	jede
Minute	NN	Minute
gezählt	VVPP	zählen
.	$.	.
EVCHEN	NN	EVCHEN
.	$.	.
Denk	VVIMP	denken
doch	ADV	doch
!	$.	!
ist	VAFIN	sein
Ihnen	PPER	Sie
die	ART	die
Zeit	NN	Zeit
so	ADV	so
lang	ADJD	lang
geworden	VAPP	werden
.	$.	.
VON	APPR	von
GRÖNINGSECK	NN	GRÖNINGSECK
.	$.	.
Noch	ADV	noch
nicht	PTKNEG	nicht
!	$.	!
aber	KON	aber
bald	ADV	bald
möchte	VMFIN	mögen
sie	PPER	sie
mir	PPER	ich
's	PPER	es
werden	VAINF	werden
,	$,	,
wenn	KOUS	wenn
du	PPER	du
nicht	PTKNEG	nicht
–	ADJA	–
EVCHEN	NN	EVCHEN
.	$.	.
Du	PPER	du
!	$.	!
seit	APPR	seit
wann	PWAV	wann
so	ADV	so
vertraut	ADJD	vertraut
?	$.	?
VON	APPR	von
GRÖNINGSECK	NN	GRÖNINGSECK
.	$.	.
Zank	NN	Zank
nicht	PTKNEG	nicht
,	$,	,
Evchen	NE	Evchen
!	$.	!
zank	NN	Zank
nicht	PTKNEG	nicht
!	$.	!
Müßt	VMFIN	müssen
mir	PRF	ich
heut	VVFIN	heuen
nichts	PIS	nichts
übelnehmen	VVINF	übelnehmen
,	$,	,
Leutchen	NN	Leutchen
,	$,	,
ich	PPER	ich
hab	VAIMP	haben
ein	ART	eine
Gläschen	NN	Gläschen
Likör	NN	Likör
zuviel	PIS	zuviele
.	$.	.
FRAU	NN	Frau
HUMBRECHT	NN	HUMBRECHT
.	$.	.
Was	PWS	was
ich	PPER	ich
fragen	VVINF	fragen
wollt	VMFIN	wollen
,	$,	,
Herr	NN	Herr
Leutenant	ADJD	Leutenant
,	$,	,
Sie	PPER	Sie
stehn	VVFIN	stehn
mir	PPER	ich
doch	ADV	doch
davor	PAV	davor
,	$,	,
daß	KOUS	dass
wir	PPER	wir
in	APPR	in
einem	ART	eine
honetten	ADJA	honetten
Haus	NN	Haus
sind	VAFIN	sein
?	$.	?
VON	APPR	von
GRÖNINGSECK	NN	GRÖNINGSECK
.	$.	.
So	ADV	so
soll	VMFIN	sollen
mich	PRF	ich
der	ART	die
Teufel	NN	Teufel
lebendig	ADJD	lebendig
zerreißen	VVINF	zerreißen
,	$,	,
Frau	NN	Frau
Humbrecht	NN	Humbrecht
!	$.	!
wenn	KOUS	wenn
hier	ADV	hier
nicht	PTKNEG	nicht
täglich	ADJD	täglich
alles	PIS	alle
,	$,	,
was	PWS	was
beau	NN	beau
monde	NE	monde
heißt	VVFIN	heißen
,	$,	,
zusammenkommt	VVFIN	zusammenkommen
:	$.	:
