Erster	ADJA	erst
Auftritt	NN	Auftritt
Ein	ART	eine
Hoteldiener	NN	Hoteldiener
,	$,	,
dann	ADV	dann
ein	ART	eine
Liftjunge	NN	Liftjunge
.	$.	.
DER	ART	die
BEDIENTE	ADJA	bedient
kommt	VVFIN	kommen
mit	APPR	mit
einem	ART	eine
Arm	NN	Arm
voll	ADJD	voll
Kleider	NN	Kleid
aus	APPR	aus
dem	ART	die
Nebenzimmer	NN	Nebenzimmer
und	KON	und
packt	VVFIN	packen
sie	PPER	sie
in	APPR	in
einen	PIS	eine
der	ART	die
großen	ADJA	groß
Koffer	NN	Koffer
.	$.	.
Da	KOUS	da
es	PPER	es
klopft	VVFIN	klopfen
,	$,	,
sich	PRF	sich
aufrichtend	ADJD	aufrichtend
.	$.	.
Na	ITJ	na
?	$.	?
–	ADJA	–
–	NN	–
Herein	PTKVZ	herein
!	$.	!
EIN	ART	eine
LIFTJUNGE	NN	LIFTJUNGE
.	$.	.
Es	PPER	es
ist	VAFIN	sein
ein	ART	eine
Frauenzimmer	NN	Frauenzimmer
unten	PTKVZ	unten
,	$,	,
ob	KOUS	ob
der	ART	die
Herr	NN	Herr
Kammersänger	NN	Kammersänger
zu	APPR	zu
Hause	NN	Haus
sei	VAFIN	sein
.	$.	.
DER	ART	die
BEDIENTE	ADJA	bedient
.	$.	.
Ist	VAFIN	sein
nicht	PTKNEG	nicht
zu	APPR	zu
Hause	NN	Haus
.	$.	.
DER	ART	die
LIFTJUNGE	NN	LIFTJUNGE
ab	PTKVZ	ab
.	$.	.
DER	ART	die
BEDIENTE	ADJA	bedient
geht	VVFIN	gehen
ins	APPRART	in
Nebenzimmer	NN	Nebenzimmer
und	KON	und
kommt	VVFIN	kommen
mit	APPR	mit
einem	ART	eine
Arm	NN	Arm
voll	ADJD	voll
Kleider	NN	Kleid
zurück	PTKVZ	zurück
.	$.	.
Da	KOUS	da
es	PPER	es
klopft	VVFIN	klopfen
,	$,	,
die	ART	die
Kleider	NN	Kleid
weglegend	ADJD	weglegend
und	KON	und
zur	APPRART	zu
Tür	NN	Türe
gehend	ADJD	gehend
.	$.	.
Na	ITJ	na
,	$,	,
wer	PWS	wer
ist	VAFIN	sein
denn	KON	denn
das	PDS	die
wieder	ADV	wieder
?	$.	?
Öffnet	VVFIN	öffnen
die	ART	die
Tür	NN	Türe
und	KON	und
nimmt	VVFIN	nehmen
drei	CARD	drei
oder	KON	oder
vier	CARD	vier
große	ADJA	groß
Buketts	NN	Bukett
entgegen	PTKVZ	entgegen
,	$,	,
kommt	VVFIN	kommen
damit	PAV	damit
nach	ADV	nach
vorn	ADV	vorn
und	KON	und
legt	VVFIN	legen
sie	PPER	sie
vorsichtig	ADJD	vorsichtig
auf	APPR	auf
den	ART	die
Flügel	NN	Flügel
;	$.	;
macht	VVFIN	machen
sich	PRF	sich
wieder	ADV	wieder
daran	PAV	daran
,	$,	,
den	ART	die
Koffer	NN	Koffer
zu	PTKZU	zu
packen	VVINF	packen
;	$.	;
es	PPER	es
klopft	VVFIN	klopfen
,	$,	,
er	PPER	er
geht	VVFIN	gehen
zur	APPRART	zu
Tür	NN	Türe
und	KON	und
öffnet	VVFIN	öffnen
,	$,	,
nimmt	VVFIN	nehmen
eine	ART	eine
Handvoll	NN	Handvoll
Briefe	NN	Brief
in	APPR	in
allen	PIAT	alle
Farben	NN	Farbe
in	APPR	in
Empfang	NN	Empfang
,	$,	,
kommt	VVFIN	kommen
damit	PAV	damit
nach	ADV	nach
vorn	ADV	vorn
und	KON	und
mustert	VVFIN	mustern
die	ART	die
Adressen	NN	Adresse
