Erster	ADJA	erst
Akt	NN	Akt
Die	ART	die
Bühne	NN	Bühne
stellt	VVFIN	stellen
einen	ART	eine
Garten	NN	Garten
bei	APPR	bei
einer	ART	eine
Villa	NN	Villa
dar	PTKVZ	dar
.	$.	.
Im	APPRART	in
Hintergrunde	NN	Hintergrund
,	$,	,
rechts	ADV	rechts
vom	APPRART	von
Zuschauer	NN	Zuschauer
,	$,	,
sieht	VVFIN	sehen
man	PIS	man
die	ART	die
Stufen	NN	Stufe
,	$,	,
die	PRELS	die
zur	APPRART	zu
Veranda	NN	Veranda
der	ART	die
Villa	NN	Villa
hinaufführen	VVINF	hinaufführen
.	$.	.
Zur	APPRART	zu
Linken	NN	Linke
,	$,	,
gleichfalls	ADV	gleichfalls
im	APPRART	in
Hintergrund	NN	Hintergrund
,	$,	,
ist	VAFIN	sein
die	ART	die
Gartenpforte	NN	Gartenpforte
.	$.	.
Im	APPRART	in
Vordergrunde	NN	Vordergrund
steht	VVFIN	stehen
rechts	ADV	rechts
ein	ART	eine
Gartentisch	NN	Gartentisch
mit	APPR	mit
mehreren	PIAT	mehrere
Stühlen	NN	Stuhl
.	$.	.
Rudolf	NE	Rudolf
Launhart	NE	Launhart
und	KON	und
Heinrich	NE	Heinrich
Gellinghausen	NN	Gellinghausen
treten	VVFIN	treten
durch	APPR	durch
die	ART	die
Gartenpforte	NN	Gartenpforte
ein	PTKVZ	ein
.	$.	.
Launhart	ADJD	Launhart
ist	VAFIN	sein
ein	ART	eine
Mann	NN	Mann
von	APPR	von
gedrungner	ADJA	gedrungner
Statur	NN	Statur
,	$,	,
Ende	NN	Ende
der	ART	die
Zwanziger	NN	zwanziger
,	$,	,
mit	APPR	mit
blondem	ADJA	blond
Spitzbart	NN	Spitzbart
,	$,	,
kurzgeschornem	ADJA	kurzgeschornem
Haar	NN	Haar
,	$,	,
Kneifer	NN	Kneifer
und	KON	und
völlig	ADJD	völlig
ausdruckslosem	ADJA	ausdruckslos
unveränderlichem	ADJA	unveränderlichem
Gesicht	NN	Gesicht
.	$.	.
Er	PPER	er
bewegt	VVFIN	bewegen
sich	PRF	sich
sehr	ADV	sehr
rasch	ADJD	rasch
und	KON	und
spricht	VVFIN	sprechen
sehr	ADV	sehr
rasch	ADJD	rasch
.	$.	.
Gellinghausen	NN	Gellinghausen
ist	VAFIN	sein
hochgewachsen	VVPP	hochwachsen
,	$,	,
