filename	xmlid	au_name	title	au-birth	au-death	au-ids	digitalSource	firsted-yr	title-ids	language	numwords	subgenre	narr-per	au-gender	sizeCat	reprintCount	time-slot
FRA00301_Aimard	FRA00301	Aimard, Gustave	Les Trappeurs de l'Arkansas	1818	1883	viaf:9841962 wikidata:Q472068	Bibliothèque électronique du Québec (BEQ)	1858	viaf:309322317 wikidata:Q19214045	fr	90276	NA	heterodiegetic	M	medium	low	T1
FRA00302_Aimard	FRA00302	Aimard, Gustave	Belle rivière	1818	1883	viaf:9841962 wikidata:Q472068	Bibliothèque électronique du Québec (BEQ)	1894	viaf:missing	fr	139314	NA	heterodiegetic	M	long	low	T2
FRA40302_Aimard	FRA40302	Aimard, Gustave		NA	NA	viaf:9841962	NA	1858	NA	fra	84338	NA	NA	U	medium	unspecified	T1
FRA40312_Aimard	FRA40312	Aimard, Gustave		NA	NA	viaf:9841962	NA	1858	NA	fra	89310	NA	NA	U	medium	unspecified	T1
FRA40314_Aimard	FRA40314	Aimard, Gustave		NA	NA	viaf:9841962	NA	1858	NA	fra	105642	NA	NA	U	long	unspecified	T1
FRA40313_Aimard	FRA40313	Aimard, Gustave		NA	NA	viaf:9841962	NA	1859	NA	fra	108859	NA	NA	U	long	unspecified	T1
FRA00502_Balzac	FRA00502	Balzac, Honoré de	Le cousin Pons	1799	1850	viaf:29529595 wikidata:Q9711	Éfélé	1851-1853	viaf:305992935 wikidata:Q2699195	fr	111052	NA	heterodiegetic	M	long	high	T1
FRA00501_Balzac	FRA00501	Balzac, Honoré de	Albert Savarus	1799	1850	viaf:29529595 wikidata:Q9711	Éfélé	1853	viaf:174178728 wikidata:Q2740921	fr	42274	NA	heterodiegetic	M	short	high	T1
FRA00503_Balzac	FRA00503	Balzac, Honoré de	Le curé de village	1799	1850	viaf:29529595 wikidata:Q9711	Éfélé	1854	viaf:177407570 wikidata:Q2718088	fr	93205	NA	heterodiegetic	M	medium	high	T1
FRA40561_Balzac	FRA40561	Balzac, Honoré de	La fausse maîtresse    	NA	NA	viaf:29529595	NA	1842	NA	fra	18687	NA	NA	U	short	unspecified	T1
FRA40562_Balzac	FRA40562	Balzac, Honoré de	Albert Savarus    	NA	NA	viaf:29529595	NA	1842	NA	fra	40691	NA	NA	U	short	unspecified	T1
FRA40565_Balzac	FRA40565	Balzac, Honoré de	Un début dans la vie    	NA	NA	viaf:29529595	NA	1842	NA	fra	57737	NA	NA	U	medium	unspecified	T1
FRA00601_Boisgobey	FRA00601	Boisgobey, Fortuné du	Le crime de l'omnibus	1821	1891	viaf:19720225 wikidata:Q969321	Ebooks libres et gratuits	1881	viaf:1765151656351208400006 wikidata:missing	fr	93658	crime fiction	heterodiegetic	M	medium	low	T3
FRA00602_Boisgobey	FRA00602	Boisgobey, Fortuné du	Rubis sur l'ongle	1821	1891	viaf:19720225 wikidata:Q969321	(unspecified)	1886	viaf:missing wikidata:missing	fr	104131	NA	heterodiegetic	M	long	low	T3
FRA40106_Boisgobey	FRA40106	Boisgobey, Fortuné du	La Bande rouge    	NA	NA	viaf:19720225	NA	1886	NA	fra	227858	NA	NA	U	long	unspecified	T3
FRA41002_Boisgobey	FRA41002	Boisgobey, Fortuné du	L'oeil-de-chat    	NA	NA	viaf:19720225	NA	1888	NA	fra	159240	NA	NA	U	long	unspecified	T3
FRA00603_Boisgobey	FRA00603	Boisgobey, Fortuné du	Double-blanc    	1821	1891	viaf:19720225	NA	1889	viaf:unavailable	fra	125052	NA	NA	M	long	low	T3
FRA07501_Darien	FRA07501	Darien, Georges	Le Voleur	1862	1921	viaf:59052457 wikidata:Q1508877	CLiGS	1897	viaf:210980756 wikidata:Q3228211	fr	145111	NA	homodiegetic	M	long	high	T3
FRA40719_Darien	FRA40719	Darien, Georges		NA	NA	viaf:59052457	NA	1890	NA	fra	71623	NA	NA	U	medium	unspecified	T3
FRA40720_Darien	FRA40720	Darien, Georges		NA	NA	viaf:59052457	NA	1897	NA	fra	132421	NA	NA	U	long	unspecified	T3
FRA00901_Daudet	FRA00901	Daudet, Alphonse	Le petit chose	1840	1897	viaf:4928621 wikidata:Q228546	Ebooks libres et gratuits	1867	viaf:184784857 wikidata:Q1057575	fr	87744	NA	autodiegetic	M	medium	high	T2
FRA40020_Daudet	FRA40020	Daudet, Alphonse	Le petit chose    	NA	NA	viaf:4928621	NA	1867	NA	fra	86121	NA	NA	U	medium	unspecified	T2
